Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.5971272,0.019980073,0.39648777,0.39643902,0.09250952,0.4973611,0.7806736,0.29486263,0.31512585,0.41713035,0.5009316,0.21921228,0.21363944,0.008047302,0.2538047,0.30232492,0.5202851,0.12950048
1,0.39539564,0.4160239,0.34788543,0.10197629,0.35578585,0.16140082,0.0856992,0.7335196,0.21709676,0.28543332,0.07598257,0.38034195,0.045039162,0.31990284,0.018632846,0.48730645,0.53173965,0.8105956
2,0.23985294,0.320413,0.19032241,0.35963443,0.22041687,0.30810156,0.2040697,0.25233275,0.27218798,0.24802539,0.2330043,0.14467368,0.18609846,0.76006573,0.4260679,0.41768909,0.36975306,0.43701398
3,0.32049355,0.0114022475,0.18939608,0.19752625,0.16469242,0.28146514,0.4192829,0.081837654,1.0114093,0.16398135,0.27534884,0.4611753,0.66878223,0.639541,0.4078684,0.1955157,0.0643999,0.09328478
4,0.060297966,0.054054156,0.10751442,0.43735522,0.0908514,0.51578075,0.17147717,0.19517645,0.37316978,0.08701354,0.19559303,0.34382847,0.3521412,0.41754323,0.22023977,0.08919196,0.20822084,0.02883101
5,0.17135593,0.22373205,0.02434647,0.20090961,0.06337851,0.20766115,0.1924439,0.021588191,0.14438239,0.21520185,0.20032251,0.22530559,0.12312794,0.1900942,0.06659659,0.07273544,0.05946308,0.08380856
6,0.21620739,0.07369001,0.112876,0.07576059,0.15327217,0.11153753,0.017092174,0.105345756,0.09475602,0.08509674,0.22318342,0.0308692,0.11864725,0.028030943,0.0024103578,0.21066482,0.08326078,0.40129656
7,0.3562905,0.17177996,0.11211592,0.06784262,0.12740025,0.02260717,0.13221027,0.16753608,0.88163507,0.15247045,0.0687726,0.14008811,0.07786622,0.085300945,0.04901389,0.03196268,0.033970844,0.009832615
8,0.052164264,0.071243435,0.10706687,0.007877795,0.06963244,0.019284116,0.027231347,0.041913677,0.009656724,0.08410903,0.010458252,0.19210505,0.068817586,0.05102194,0.024654066,0.035841502,0.003155195,0.03832661
9,0.0023770272,0.0077279946,0.002986928,0.049848717,0.047507375,0.118927106,0.034709338,0.14887087,0.053508822,0.056313872,0.09506011,0.30447876,0.080783896,0.083053224,0.10657803,0.0014796411,0.07663624,0.098594286
10,0.032244794,0.03939972,0.08745512,0.029854164,0.04307281,0.08556847,0.005839002,0.11545887,0.07788152,0.05553062,0.10844738,0.11253952,0.04998063,0.06437112,0.092025295,0.017324917,0.1178071,0.13584656
11,0.03357206,0.038312424,0.045128115,0.023672879,0.18152577,0.5749515,0.0112851225,0.14070691,0.06845551,0.074729055,0.068003,0.022451786,0.023160402,0.015194923,0.10228057,0.0056510926,0.015004106,0.010271024
12,0.1413881,0.10193147,0.08790253,0.064962596,0.07297847,0.019166915,0.035992708,0.10245171,0.06610192,0.06627798,0.004642501,0.07149669,0.008821312,0.034774814,0.27911076,0.027186744,0.042511705,0.007459119
13,0.037572198,0.05105047,0.016334737,0.040957857,0.09707335,0.024294794,0.010961428,0.02957359,0.013339562,0.01408739,0.042624556,0.0654371,0.25900874,0.049090065,0.0541518,0.0064427066,0.018984701,0.047921762
14,0.15674922,0.025461849,0.018463623,0.028269958,0.031035608,0.007252175,0.026917696,0.0402677,0.008398864,0.010264862,0.06878752,0.028477844,0.07211715,0.017553192,0.00798253,0.05214633,0.04434824,0.011310284
15,0.07008053,0.010229532,0.008182969,0.009120839,0.009558011,0.17608848,0.00083015364,0.05289871,0.010673725,0.02923501,0.05231423,0.019657008,0.0107920375,0.0053884746,0.030077826,0.03343329,0.060427286,0.042121902
16,0.009271323,0.03172148,0.03452316,0.033001512,0.018305939,0.030685036,0.11044205,0.010428925,0.07381724,0.047896326,0.00800297,0.24639249,0.0446866,0.058187496,0.02368389,0.010815655,0.021839831,0.0406413
17,0.021022681,0.00242834,0.035084736,0.019022914,0.015575744,0.021504514,0.046665266,0.010112692,0.07195538,0.045620978,0.021212786,0.010487665,0.032784447,0.091811374,0.11148342,0.28310335,0.02500806,0.0036746522
18,0.020012962,0.044281088,0.06538687,0.05142612,0.012070003,0.007752223,0.028622568,0.015389945,0.24950853,0.056286935,0.010259911,0.013657652,0.06573041,0.057338387,0.023744594,0.060174905,0.06833763,0.020832157
19,0.025185935,0.017333494,0.03465587,0.004429999,0.010003855,0.015610224,0.030688725,0.010693269,0.1617881,0.024741467,0.027009493,0.016206848,0.004554956,0.027017828,0.023868114,0.0088528395,0.016987586,0.014196383
