Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.9526508,1.0763681,0.24016735,0.3771176,0.4123798,0.68974566,1.0693924,2.0923102,0.18320823,0.20384786,0.40648258,0.7284717,1.128641,1.2409823,0.597486,0.19350521,0.48728886,0.42649752,0.094221674,0.23449774,0.29538733,0.05326058,0.3135696,0.071533084,0.019665206,0.45253018,0.32999083,0.40693536
1,0.29361314,0.09781631,0.027006704,0.10111036,0.6577858,0.061677568,0.13257723,0.2808716,0.039123323,0.10179811,0.16580166,0.4970948,0.23965791,0.124479994,0.36303812,0.47947264,0.01759183,0.107677795,0.0051253703,0.44764343,0.5551801,0.24556585,0.012561367,0.65941006,0.5425894,0.13729577,0.456345,0.013911849
2,0.2942366,0.1183507,0.30112913,0.11094508,0.018795155,0.18714722,0.10771561,0.026914354,0.2584738,0.05618996,0.024303194,0.4804869,0.2936902,0.06323989,0.27544373,0.037615314,0.22476052,0.18288812,0.3202057,0.4509977,0.06322065,0.41838214,0.16682392,0.10206281,0.13720453,0.080051966,0.43489224,0.5312115
3,0.21950257,0.5586914,0.23450944,0.0038937991,0.0075472975,0.025687097,0.03125119,0.29196548,0.11965905,0.01077389,0.33627075,0.1264841,0.01525129,0.41436696,0.0027962397,0.099313416,0.004588536,0.02847669,0.24717788,0.025952438,0.33743703,0.3389557,0.1743102,0.24722904,0.20352888,0.011290132,0.25613147,0.45687845
4,0.30965024,0.14257266,0.04799572,0.3030685,0.0062242206,0.0015894856,0.028735025,0.025141316,0.1273653,0.33730876,0.27576658,0.2509837,0.10247497,0.019706188,0.12836176,0.5302763,0.33684367,0.32453272,0.18572582,0.104805335,0.31866336,0.11329126,0.20560509,0.5422211,0.22136687,0.0036365418,0.0012351518,0.09715337
5,0.13357836,0.07118302,0.031220555,0.13344453,0.09923483,0.37187567,0.587831,0.25276932,0.08880714,0.06835387,0.0066927625,0.012592878,0.028293665,0.52332366,0.03488324,0.17774943,0.018470256,0.22996885,0.068744965,0.12006122,0.27705032,0.081638455,0.07258204,0.07506244,0.1804981,0.015009593,0.039295115,0.0013887867
6,0.049065325,0.038070567,0.12101478,0.041103113,0.11752781,0.004751934,0.7930237,0.1458875,0.17142752,0.16964036,0.10989754,0.06357367,0.088049755,0.006968096,0.007604376,0.041021965,0.046654038,0.04249977,0.050051115,0.010719104,0.020421928,0.062399592,0.052242763,0.17186862,0.0746255,0.14870432,0.15013294,0.15349169
7,0.09769888,0.020177066,0.06429539,0.1357291,0.09107432,0.036235094,0.0045563215,0.114224166,0.48999935,0.05002801,0.0702408,0.106748976,0.1216425,0.21357171,0.021355856,0.020703826,0.0140331965,0.0021792282,0.07080364,0.07093628,0.053767696,0.03779717,0.07954666,0.040342648,0.0014595657,0.11090205,0.022156406,0.011586639
8,0.020433448,0.2146637,0.06730057,0.006271332,0.045301743,0.0485074,0.043705508,0.14868027,0.056541823,0.01680088,0.017438594,0.018122122,0.11557415,0.011933519,0.021600492,0.040195193,0.06677578,0.005733532,0.008009444,0.009074589,0.020901889,0.04188891,0.0011869854,0.018217975,0.14060493,0.07639971,0.09681841,0.30937982
9,0.11109166,0.014340751,0.03085697,0.034896065,0.017850438,0.005216509,0.06850019,0.0044082813,0.0101412935,0.08788245,0.06775765,0.038205512,0.018831912,0.036715075,0.009891376,0.011105177,0.014509234,0.007862525,0.08487726,0.013983841,0.34459543,0.038581435,0.049638305,0.013062518,0.024387605,0.03319434,0.1493921,0.051191345
10,0.08694642,0.05410687,0.051746823,0.059622757,0.013562764,0.052423403,0.09923241,0.017985687,0.046411563,0.052100275,0.010972461,0.010502637,0.09570022,0.042140532,0.08818473,0.08245265,0.021607772,0.040169075,0.031176485,0.023320824,0.010370975,0.0071694977,0.053211145,0.14563738,0.21737254,0.0024102652,0.054450177,0.043981783
11,0.028806586,0.010897325,0.02270014,0.07744846,0.078037575,0.05301654,0.034077007,0.03349572,0.06704824,0.05645048,0.17323236,0.019913068,0.008790003,0.041981388,0.01600881,0.01725548,0.11923983,0.036197204,0.10055586,0.036715288,0.010908245,0.22704999,0.09380257,0.07491266,0.2349755,0.030576766,0.026453793,0.02239871
12,0.08845187,0.11024843,0.04917802,0.0613928,0.018782632,0.022431968,0.075498454,0.030594636,0.36384577,0.015624668,0.12288201,0.25585783,0.0778835,0.24260268,0.027060097,0.036313936,0.0017130804,0.09958327,0.10042469,0.0099430345,0.012254005,0.014758601,0.024017895,0.0067150802,0.016107464,0.0144816525,0.0060223923,0.00757063
13,0.20589241,0.022443969,0.006465928,0.0068814578,0.013617304,0.011281302,0.01569839,0.0082610985,0.010198344,0.016079195,0.02301962,0.013252877,0.018258778,0.008660824,0.07045648,0.028818544,0.009852854,0.022229385,0.07232426,0.059608378,0.038573164,0.054340817,0.07962109,0.008942373,0.0047079273,0.008560747,0.02651804,0.06129627
14,0.23364612,0.015079269,0.024828931,0.004884957,0.048930302,0.015019542,0.010996631,0.021903433,0.0034002652,0.008527198,0.015572794,0.0034866205,0.002287033,0.015180051,0.00850418,0.03438137,0.01082975,0.0179503,0.0031835379,0.03579541,0.027685124,0.0372763,0.048457686,0.03269253,0.015390664,0.030598538,0.046896596,0.034612402
15,0.20592222,0.011517371,0.002458231,0.0039103418,0.030696493,0.07065071,0.013938679,0.033862896,0.00148703,0.007244721,0.09634262,0.0038160905,0.007149902,0.020971848,0.010677312,0.004436923,0.018385056,0.058790788,0.0033023797,0.016365714,0.0025515174,0.03228558,0.014835054,0.013676379,0.0054632574,0.019005127,0.11274323,0.025119139
16,0.0058429847,0.020902412,0.0543304,0.0065527195,0.008860882,0.029887632,0.06463201,0.0037519457,0.014407057,0.042436928,0.03568875,0.045193117,0.069535,0.045613833,0.076531224,0.011274636,0.0126645,0.08131516,0.06809302,0.038824737,0.02761959,0.006881819,0.014887345,0.05562855,0.28825808,0.104087815,0.071194395,0.026460543
17,0.024611503,0.007685337,0.011570897,0.02339754,0.037024498,0.030475544,0.012331191,0.0088393055,0.018615788,0.074411176,0.027485106,0.0346757,0.013346687,0.02045393,0.041592542,0.024531234,0.043085933,0.034734838,0.12319528,0.022482388,0.006722708,0.01993331,0.053636122,0.0075218175,0.01819997,0.008853892,0.021847894,0.0066984855
18,0.017202888,0.011007438,0.016462553,0.002862672,0.03314807,0.000502897,0.0037668766,0.009123292,0.032654673,0.0052341777,0.040692944,0.0060657044,0.012575221,0.016281223,0.027292477,0.014907529,0.0061830296,0.006962587,0.008046784,0.2003165,0.017305352,0.018319745,0.01156598,0.022734461,0.021977099,0.012859764,0.003390416,0.0021179742
19,0.009911636,0.019345539,0.024121007,0.011631319,0.006861383,0.017954996,0.0467291,0.006825555,0.053516097,0.0099117495,0.0060474463,0.025683101,0.022717074,0.0057818824,0.049506124,0.012378516,0.013219921,0.01626746,0.010271568,0.041822415,0.019979104,0.0154922865,0.014271947,0.008219769,0.019636976,0.016271261,0.123757415,0.018071728
20,0.018337019,0.0343406,0.011035202,0.0043770634,0.015261454,0.013398241,0.0104696555,0.007379461,0.14679822,0.008698653,0.05473827,0.02615489,0.08211164,0.027262364,0.025644075,0.043245487,0.02321608,0.02453363,0.023267414,0.11070588,0.033063903,0.021196749,0.011030335,0.0034925155,0.03372494,0.0055879145,0.005836903,0.0025342582
21,0.015446765,0.0025500164,0.10135317,0.040351838,0.025126703,0.014124571,0.022210822,0.023097392,0.031711817,0.020528894,0.01654074,0.040999964,0.0097604925,0.025585521,0.010866734,0.004791002,0.05674254,0.036075886,0.007454362,0.01141355,0.003918458,0.0014058952,0.006987379,0.013365083,0.021351933,0.00761982,0.004524114,0.006158408
22,0.005052644,0.007690152,0.0028104137,0.0042556343,0.027301848,0.005339385,0.005723869,0.0101012075,0.003747744,0.008424339,0.010795623,0.025565628,0.14108425,0.005322025,0.00044054945,0.00025292742,0.013908596,0.035289705,0.0011514373,0.009865647,0.035533894,0.030800506,0.024240898,0.010444723,0.0048579704,0.038416646,0.020194054,0.00072333997
23,0.005011588,0.008593581,0.023725238,0.035580494,0.0007619422,0.0040712627,0.0039916676,0.02545075,0.014181294,0.017504832,0.012623497,0.16842854,0.024793034,0.007874126,0.007885282,0.005352961,0.0058180527,0.002791391,0.004441375,0.0016190067,0.00490689,0.0076156994,0.008082315,0.011588806,0.0027039363,0.0017314978,0.0025873235,0.006578842
24,0.0029642903,0.010790717,0.002223137,0.007686895,0.0054981024,0.022217046,0.0043042745,0.020076066,0.008333633,0.024130711,0.007072682,0.05010154,0.0091989795,0.00061348453,0.006759082,0.19903786,0.019608537,0.0010891872,0.030876722,0.030828524,0.0040759747,0.0050559435,0.0065400526,0.0043276874,0.021340294,0.012545703,0.008201912,0.028255513
25,0.018642766,0.00070370355,0.012470287,0.00226632,0.005913213,0.026839249,0.016778244,0.016060498,0.010313089,0.0068803607,0.0012655806,0.0053307298,0.0018900643,0.0008837433,0.00880719,0.0024442887,0.019502636,0.13945268,0.0026065717,0.050744757,0.0034545292,0.010966866,0.0052940557,0.01783491,0.008981874,0.02161595,0.0042790584,0.0635974
26,0.046012808,0.013141201,0.001485388,0.14630663,0.014903305,0.00627157,0.01283742,0.010603416,0.005768161,0.0065880623,0.013515716,0.014009889,0.011180658,0.018555615,0.0140829785,0.009821071,0.058338072,0.009221851,0.003987562,0.0081739705,0.003538649,0.01159247,0.001953984,0.002828137,0.025980175,0.039034314,0.06290029,0.01007616
27,0.014196498,0.015341183,0.0143439695,0.01540223,0.006764646,0.0038894734,0.0034389927,0.01715175,0.008896859,0.0017722908,0.019950803,0.012817215,0.009478012,0.006372086,0.024895258,0.013170715,0.00060775224,0.12528837,0.009444285,0.0050373334,0.013826784,0.0061593708,0.00035907116,0.035240125,0.0008287784,0.017150408,0.0028470103,0.01120803
28,0.011541959,0.0019289148,0.026243676,0.00085007783,0.00058179325,0.008540422,0.00096631685,0.00065127795,0.0028735725,0.10023049,0.018452747,0.027158674,0.0039346362,0.022073707,0.04617971,0.015381501,0.028548963,0.051570725,0.0107743535,0.0074124383,0.018412896,0.024965754,0.0043304646,0.012796516,0.004548912,0.0053802654,0.0024090079,0.00452824
29,0.006189604,0.0066119935,0.009500483,0.004486967,0.008866429,0.004066412,0.020667434,0.013077071,0.02172498,0.030484926,0.0042004734,0.0017486708,0.008423336,0.003872479,0.012949826,0.0026783855,0.0006818536,0.0056000147,0.01776041,0.006043195,0.0037651886,0.0017340232,0.0026266482,0.0062344014,0.013934491,0.005775646,0.10895366,0.014097804
