Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.21697941,0.15101264,0.44253865,0.46062922,0.59896195,0.67297715,0.26312262,0.38574356,0.069937125,0.31015772,0.1399934,0.21202219,0.20679003,0.07573556,0.6028876,0.066192955,0.79459435,0.07733087,0.36672807,0.02833781,0.25551492,0.023840323,0.11046427,0.4195363,0.65768886,0.037840273,0.14560865,0.14974433,0.24242559,0.21996588,0.32378137,0.20321418,0.10419133,0.3165526,0.30654073,0.22080082,0.60975885,0.37108254
1,0.25565177,0.40911108,0.189562,0.17582694,0.016817067,0.20975268,0.18397829,0.04958991,0.024717454,0.3687028,0.20722255,0.040954497,0.024672627,0.04288287,0.33096433,0.29362252,0.12261768,0.1746617,0.11698975,0.013854045,0.16998337,0.313978,0.016938142,0.00821994,0.30428883,0.011682815,0.43906862,0.20261309,0.042561688,0.21614338,0.15237364,0.39682573,0.09300883,0.16020113,0.36244273,0.094213046,0.67207634,0.103898264
2,0.05428489,0.028166417,0.0094809085,0.071284026,0.38795245,0.009112982,0.18623313,0.22252308,0.1552035,0.13130224,0.12406609,0.32322586,0.05547632,0.29237527,0.1235257,0.22026129,0.017255833,0.25934684,0.059742615,0.011063532,0.06720629,0.16458598,0.19623421,0.43534786,0.011221917,0.0052343043,0.18389507,0.43286654,0.12943402,0.12844732,0.15282276,0.019291375,0.27233887,0.20099881,0.34538257,0.27875742,0.06913331,0.121333726
3,0.08179512,0.15212823,0.08451258,0.32029364,0.26575768,0.06284542,0.047967143,0.09806146,0.081804365,0.16381216,0.122058,0.3112359,0.15837136,0.066253014,0.20813036,0.11781739,0.08166857,0.050159264,0.1295405,0.08560364,0.2389569,0.065837,0.2826784,0.027571192,0.33810246,0.019412495,0.12811127,0.06254047,0.42246643,0.012737791,0.07241975,0.054140124,0.16344567,0.3552636,0.19458571,0.23665833,0.2862148,0.14205699
4,0.08867279,0.13125321,0.10779658,0.23136342,0.016413763,0.017937114,0.13034484,0.12327383,0.021335294,0.40389165,0.15846464,0.36033028,0.20327961,0.15247633,0.08382866,0.20804828,0.01447466,0.075603284,0.17236663,0.027153738,0.21360308,0.29862842,0.041340336,0.22920284,0.12592798,0.14066629,0.050470483,0.05198937,0.08238965,0.1472475,0.022320941,0.011188372,0.06845987,0.18563284,0.09233415,0.32064763,0.1926201,0.019327572
5,0.10632318,0.02598786,0.03420946,0.024680132,0.007201696,0.071763106,0.23249367,0.13307074,0.113987185,0.372682,0.120352976,0.18280685,0.014658837,0.0169979,0.08804328,0.14225473,0.1711593,0.021911196,0.015114836,0.05674801,0.30156907,0.020085374,0.00058438024,0.10845088,0.27333266,0.03461198,0.023000967,0.06012404,0.055507213,0.06623876,0.22377567,0.03620502,0.083710074,0.022746105,0.010948675,0.14010714,0.010215383,0.20590283
6,0.08679163,0.0025510998,0.014630163,0.07174503,0.03789045,0.15163276,0.07591269,0.0125997225,0.0013708065,0.0061503374,0.12268195,0.17721733,0.053757943,0.04008474,0.07950452,0.044369392,0.05746223,0.046040684,0.044636704,0.045960244,0.04379084,0.14371134,0.15065904,0.028115429,0.18367955,0.061702386,0.009010725,0.07784649,0.050533347,0.019876232,0.12559299,0.052589756,0.01669677,0.02234729,0.067550905,0.00906046,0.19258666,0.055631887
7,0.024835715,0.029010093,0.012911253,0.01370273,0.07400866,0.014891769,0.038571797,0.02414407,0.021563387,0.036228847,0.037211597,0.0078224735,0.009711895,0.021379545,0.05829695,0.04826324,0.31601825,0.013246882,0.027525455,0.04449579,0.018413568,0.016433652,0.04253919,0.09282766,0.09826568,0.013650868,0.011521639,0.029540516,0.025069624,0.018189222,0.013235348,0.013016627,0.03642035,0.018628271,0.059341706,0.07167016,0.03888681,0.01360698
8,0.25163132,0.02889954,0.08138992,0.0034944804,0.03990319,0.006318027,0.038083877,0.0411422,0.025293471,0.022499837,0.006180583,0.036775917,0.027915794,0.022776157,0.08335001,0.08853781,0.094837844,0.1099949,0.036598653,0.006545072,0.010860827,0.007584719,0.013690363,0.022781443,0.011960711,0.020715972,0.051198047,0.06192948,0.012943043,0.005458409,0.05757738,0.08237514,0.01896723,0.013664441,0.03595855,0.075790755,0.041422896,0.029498812
9,0.01671329,0.019227594,0.045049958,0.008775292,0.024006292,0.0145386625,0.04356552,0.032053504,0.04496488,0.017561484,0.014406835,0.017233416,0.029257555,0.019289648,0.004829334,0.006703249,0.07649003,0.041557506,0.08004898,0.20558566,0.034823146,0.0357961,0.12913397,0.030553814,0.042489942,0.017169379,0.01843281,0.0041887728,0.048088975,0.14870341,0.037544668,0.0127179185,0.19562253,0.014898868,0.0254827,0.009997323,0.02545502,0.02456627
10,0.15534893,0.072713405,0.09753308,0.043963555,0.009471057,0.035817377,0.16806522,0.10010916,0.11535665,0.11699427,0.03540056,0.05708438,0.018547352,0.044870265,0.059785545,0.14910688,0.0043854113,0.0411609,0.034376346,0.14857475,0.115582384,0.013968997,0.08194314,0.020609556,0.19799396,0.16477533,0.09432329,0.07789712,0.037051033,0.05486252,0.027835403,0.15763569,0.13283646,0.08182818,0.06307787,0.0061951685,0.12680994,0.017604956
11,0.1148559,0.09727033,0.029167762,0.05218223,0.049927674,0.09862516,0.12963453,0.08336721,0.10455909,0.04356746,0.02300407,0.029813739,0.0714369,0.04791878,0.032377295,0.07595957,0.015853103,0.026321175,0.04815029,0.01863971,0.07607412,0.009891804,0.03876906,0.0069360817,0.050577503,0.05929815,0.017851537,0.012795456,0.028685851,0.015177734,0.03233389,0.10464809,0.030287074,0.010120583,0.034838796,0.07840243,0.024899242,0.027852893
12,0.029662061,0.07430243,0.023407226,0.05043861,0.009995127,0.02917706,0.0017741335,0.05736343,0.05877822,0.027336657,0.020744916,0.019838091,0.02471814,0.011563009,0.018549949,0.02703606,0.01997912,0.01686628,0.054154634,0.037048604,0.14452699,0.03442462,0.15692744,0.008344537,0.0036919783,0.04090683,0.025666036,0.06492005,0.012020802,0.010881419,0.013766009,0.05130914,0.019749802,0.022626355,0.058328345,0.019769784,0.034472022,0.025484532
13,0.0063485918,0.10577249,0.018886197,0.053058773,0.009447927,0.0040157563,0.010960197,0.03319075,0.013146263,0.0154127255,0.016426142,0.024647482,0.007242316,0.0045433547,0.032557674,0.05223105,0.0068693217,0.013622956,0.0037112497,0.006993438,0.027211837,0.0070801964,0.14941245,0.044319585,0.12282671,0.02075316,0.02857956,0.08119565,0.052182775,0.10014054,0.011404726,0.009086868,0.013236115,0.16771142,0.038168002,0.06056669,0.0071082106,0.0675886
14,0.013547203,0.04532447,0.060341273,0.037454627,0.024067644,0.012631208,0.006856923,0.016545856,0.09278706,0.019149669,0.016926868,0.028880432,0.011028089,0.15035433,0.014999183,0.041828394,0.025088582,0.043337815,0.021821849,0.0040416913,0.01744084,0.01743358,0.021147545,0.010268467,0.0122108655,0.064203985,0.027720913,0.023963552,0.06747626,0.005070441,0.026768712,0.021038689,0.037415348,0.06594205,0.080514744,0.036339782,0.016481616,0.004329783
15,0.041869547,0.103101686,0.10117089,0.080500424,0.09646754,0.03521104,0.009265192,0.0024988973,0.042898618,0.015146796,0.043766588,0.019394118,0.009527407,0.02074853,0.011592416,0.019562036,0.004623173,0.010042466,0.02290547,0.003104019,0.0064614187,0.005629332,0.09944104,0.005364222,0.014249426,0.0067617605,0.026279766,0.011025123,0.005696887,0.0033080415,0.028692357,0.027777657,0.009949869,0.0032991446,0.012268923,0.025147764,0.009662351,0.026932128
16,0.017032053,0.037084874,0.0035649035,0.0011942254,0.065354556,0.010062901,0.018850792,0.023026222,0.020036915,0.049129374,0.07061298,0.11027103,0.048971184,0.32497653,0.22196224,0.011901692,0.051720925,0.007569652,0.050560024,0.074477166,0.029276973,0.026596112,0.020040862,0.0049595498,0.010654071,0.046059303,0.015472552,0.009076682,0.0077782413,0.011190676,0.00275215,0.0061970004,0.035265733,0.02132492,0.0053656874,0.038295105,0.013057683,0.05837003
17,0.03225513,0.023092266,0.143804,0.07765386,0.11433644,0.056751702,0.1401394,0.037419796,0.040986493,0.0063116504,0.023810968,0.051427677,0.058331605,0.038862437,0.09183518,0.17603678,0.023006964,0.015484944,0.0021237878,0.014297247,0.080033064,0.30738956,0.11588653,0.13766214,0.08183126,0.0212035,0.006057065,0.07504165,0.09786806,0.014598838,0.01851407,0.006565864,0.0010319863,0.052201495,0.0086582955,0.0029205051,0.0036162357,0.010286737
18,0.020784339,0.0014202769,0.0017406775,0.006463172,0.006169052,0.0074321968,0.012426607,0.0029412364,0.013461323,0.021517156,0.008390363,0.0017389038,0.0072963024,0.011249653,0.028138101,0.0012414833,0.0011964648,0.008881908,0.034708954,0.00978159,0.11473931,0.01959349,0.01771938,0.0667303,0.005147412,0.013668004,0.05922813,0.05531986,0.023356473,0.018943414,0.010171894,0.01005242,0.0065550664,0.0068022003,0.013411385,0.007524601,0.056981426,0.010004439
19,0.12866667,0.017590344,0.006081,0.043177642,0.043069143,0.02059989,0.03501206,0.0075254147,0.016963048,0.030889321,0.05156269,0.006889931,0.018131437,0.0130632585,0.017771002,0.0035569565,0.0042709336,0.006431841,0.015778603,0.023746096,0.002375252,0.016336914,0.008553874,0.00933444,0.049561374,0.023041304,0.0113592055,0.0030718585,0.004019995,0.0017049969,0.017806824,0.0043939883,0.015654374,0.03127624,0.024842408,0.008936897,0.008060411,0.0072413464
20,0.0026665838,0.011136889,0.0031936443,0.0029514285,0.03189115,0.0068226196,0.015669782,0.021346943,0.013717169,0.009972488,0.033525206,0.06727971,0.03803002,0.009392133,0.02693462,0.004272847,0.0026678427,0.011676986,0.019454515,0.0054417867,0.03474242,0.008682435,0.031689662,0.004834725,0.004335149,0.15406217,0.010726007,0.026007768,0.06584497,0.020155126,0.023116613,0.01237975,0.018065866,0.006827703,0.020912103,0.01979042,0.0057429145,0.0025052
21,0.024423972,0.015885856,0.0059531224,0.0011441853,0.0014187584,0.01144768,0.024242127,0.005280965,0.012998523,0.0059152143,0.02509536,0.0076848036,0.0021777605,0.04875609,0.011885433,0.033196896,0.021822536,0.110004604,0.026251059,0.0016040221,0.018044764,0.033659276,0.0053962297,0.0049110167,0.030648356,0.018347876,0.05237087,0.05133049,0.0015558029,0.0037193582,0.0124038765,0.0044282437,0.019091418,0.019271009,0.025216334,0.0070285373,0.014391945,0.025356438
22,0.0125783365,0.037063688,0.005727791,0.0015502536,0.0060811657,0.001381542,0.0034604012,0.0023522696,0.0063545234,0.0043382198,0.019673511,0.0032051695,0.011665402,0.17177767,0.0019937472,0.00068300415,0.0030837157,0.0021612293,0.0034521767,0.0027863658,0.011501091,0.031397536,0.0076930104,0.00228864,0.0054126605,0.004349532,0.013567339,0.0065508275,0.00967219,0.0052486253,0.000509407,0.0036868046,0.003005107,0.0016078705,0.0036797265,0.0008908288,0.027997743,0.0081382785
23,0.0022001504,0.0008607451,0.004395763,0.001610287,0.002690923,0.007032904,0.006728085,0.008350454,0.0023532915,0.0012389355,0.012654647,0.0010136153,0.015477103,0.011652067,0.12141741,0.011828739,0.00465047,0.0046335952,0.0052264235,0.01608932,0.04056195,0.025898691,0.021294136,0.009516338,0.0012179427,0.012905399,0.015389704,0.008520346,0.02838277,0.000643025,0.003790627,0.019446936,0.009457151,0.005701132,0.005098837,0.0019956524,0.007025663,0.0052399198
24,0.0027398607,0.0054838597,0.009575265,0.048087496,0.018501658,0.005320628,0.019222591,0.01073715,0.006691626,0.0130787045,0.018028017,0.021264497,0.0111961765,0.01101566,0.00089061155,0.0023896024,0.0030028638,0.0023493818,0.0058459854,0.0068173166,0.010829346,0.0035106135,0.01510879,0.0016240319,0.0026592338,0.009120455,0.007599191,0.0071706558,0.0056367754,0.0049164495,0.0048705824,0.0044430145,0.0049281507,0.009105754,0.003507581,0.14794528,0.02162484,0.012278922
25,0.01733566,0.011396649,0.0063438313,0.0046932553,0.020054214,0.00444293,0.005174147,0.0016565492,0.009146379,0.016300473,0.027603865,0.0035112463,0.008202815,0.005945779,0.0154441,0.009431708,0.023364648,0.026460463,0.02091993,0.15997422,0.032510072,0.016755197,0.0057099015,0.0134755215,0.0027654006,0.02297269,0.018566925,0.01871287,0.018795969,0.003941885,0.004288746,0.0050887605,0.02173502,0.017096084,0.0029373986,0.0021895843,0.003165612,0.0073570022
