Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,1.8345014,1.0417341,1.9231446,0.9875897,1.7036221,2.0691004,1.4003735,2.5008104,1.2628894,1.2818891,0.5185895,1.1610756,1.1572523,1.3239677,0.45672008,0.9980003,0.3046361,0.6604681,1.2852796,1.0518506,0.55955744,0.46020058,0.31581765,0.5438304,0.63564616,0.44239494,0.5632385,0.08919943,0.07295348,0.2583177,0.059553638,0.14784843,0.19927593,0.20664963,0.5901196,0.029444633,0.26856977,0.23748353,0.21762651,0.031017222,0.11338916,0.36567616,0.0773192
1,0.14509448,0.16723421,0.045900717,0.07824977,0.15398961,0.49423116,0.13993283,0.13895604,0.08511352,0.098684095,0.12401861,0.1498555,0.3898291,0.19141866,0.21954103,0.43944046,0.05849881,0.32835588,0.021714857,0.038554862,0.429728,0.019154992,0.1327663,0.28666967,0.0193408,0.025942594,0.37380725,0.08336127,0.21014747,0.13856764,0.14778785,0.21620071,0.040570267,0.27806437,0.14956614,0.47060746,0.063263714,0.10450426,0.03486784,0.2864706,0.07246496,0.28372848,0.009264217
2,0.22065392,0.32425684,0.3097003,0.28291053,0.32564604,0.0148531515,0.164998,0.34083924,0.011682544,0.00051707844,0.09273829,0.006818988,0.19368067,0.036457587,0.27796572,0.053446308,0.07896091,0.20454489,0.040816553,0.13547316,0.0886906,0.2858679,0.20495725,0.050510734,0.16676164,0.08039471,0.15107211,0.20101106,0.19093305,0.43356422,0.030787384,0.022100914,0.44221187,0.59873474,0.22931468,0.08936454,0.2332299,0.13975587,0.14402738,0.017884184,0.05345135,0.005423966,0.0593299
3,0.16657412,0.14980169,0.2237779,0.039375488,0.010998322,0.28949863,0.14375618,0.080969736,0.09266961,0.13715775,0.29811656,0.11739084,0.2988849,0.19753553,0.039592337,0.0943892,0.44057032,0.08127144,0.11860952,0.30250505,0.077140994,0.024865868,0.17014356,0.045208722,0.11631543,0.46542335,0.5039608,0.36553246,0.025592312,0.2532142,0.2592853,0.011092524,0.026103862,0.17712379,0.042989396,0.06956604,0.44692463,0.010499002,0.0029693493,0.01264241,0.010458914,0.079447754,0.018708507
4,0.05073223,0.17775258,0.0030074203,0.12124594,0.0074520814,0.029285349,0.26657006,0.0036260975,0.2762854,0.19266376,0.0064353165,0.10237007,0.34740144,0.08023512,0.32248494,0.027108727,0.035587728,0.13129231,0.14740713,0.34385502,0.043048628,0.025460493,0.126509,0.17449342,0.055722352,0.15117161,0.07689747,0.20112649,0.084474556,0.04358132,0.080506936,0.12387383,0.017308746,0.19878565,0.07667336,0.0058351345,0.11470165,0.119203895,0.024873156,0.062965795,0.075205,0.22325644,0.06785532
5,0.0027171378,0.026047274,0.012320383,0.07383973,0.14285322,0.08102921,0.03710084,0.058501102,0.0063961665,0.025237909,0.006318526,0.040446457,0.042814672,0.05213767,0.1203403,0.019625805,0.13354044,0.028493686,0.052633904,0.024351459,0.047520667,0.021796506,0.14435369,0.19352423,0.024970315,0.07593514,0.066563025,0.101488315,0.06514655,0.07149862,0.11305735,0.1403648,0.059029683,0.26626992,0.37435544,0.6842468,0.22241582,0.12614498,0.086170375,0.020009713,0.09401115,0.29706874,0.3283128
6,0.05008652,0.07819862,0.074264094,0.069234684,0.019143408,0.08992614,0.08378829,0.17929658,0.41470698,0.11203031,0.008807782,0.017930444,0.1794078,0.034170177,0.06765996,0.02819695,0.022258436,0.03284833,0.036563516,0.10204196,0.1473882,0.06336453,0.15804343,0.035111975,0.1296279,0.23075306,0.0022039507,0.01758399,0.025255399,0.005933743,0.008734352,0.073690735,0.029397117,0.035373107,0.04148795,0.025195073,0.0017124193,0.1639908,0.11505088,0.10512898,0.20440426,0.011786188,0.038012497
7,0.008921428,0.0017772723,0.015040951,0.0062159295,0.11788199,0.0070537394,0.023784833,0.015004486,0.014552691,0.0032679134,0.08993187,0.03185675,0.0050645377,0.026174689,0.16903201,0.02689938,0.07405349,0.020213947,0.030715618,0.013108435,0.015976673,0.07242617,0.017958911,0.01813741,0.018657377,0.0445038,0.0030397936,0.06003923,0.18969834,0.06834523,0.047169223,0.0125745665,0.044985436,0.024132041,0.017398663,0.03457488,0.010098795,0.042675033,0.04369332,0.36011365,0.023137739,0.061494567,0.059026416
8,0.00843129,0.03872199,0.040969636,0.0026361262,0.09769351,0.042987674,0.08801043,0.13138968,0.14568229,0.03574765,0.10819202,0.026693862,0.08176519,0.13460332,0.087029085,0.035308074,0.013074052,0.03731791,0.017455379,0.07596527,0.020989196,0.039994158,0.044850357,0.015474272,0.035598207,0.033234946,0.07626593,0.009050557,0.02182708,0.013089988,0.031958673,0.16525403,0.0065163835,0.018647993,0.038806938,0.05694995,0.054270204,0.05641093,0.07768805,0.032828696,0.027400352,0.004012628,0.078745365
9,0.17440723,0.04910629,0.007557749,0.01568922,0.020926625,0.06970519,0.033027403,0.07019186,0.026803695,0.030913124,0.031986553,0.010995379,0.048098765,0.019481173,0.010655199,0.036676012,0.0100398045,0.27104753,0.02655898,0.015793841,0.04402922,0.02022524,0.03663036,0.034428038,0.102640584,0.0024901116,0.056929387,0.05911268,0.031949837,0.0143713355,0.014656383,0.027669113,0.06195407,0.12834729,0.013793558,0.02938997,0.0054781823,0.030250218,0.0155042205,0.045861013,0.058310013,0.009714146,0.03191388
