meeting_date,sentiment_score
1993-03-23,-0.28237244
1993-05-18,-0.3938745
1993-07-07,-0.38241053
1993-08-17,-0.26828232
1993-09-21,-0.38373137
1993-11-16,-0.35218942
1993-12-21,-0.03638776
1994-02-04,0.06459509
1994-03-22,-0.31395775
1994-05-17,-0.4493012
1994-07-06,-0.2589608
1994-08-16,-0.21853206
1994-09-27,-0.3769628
1994-11-15,-0.27574414
1994-12-20,-0.25680915
1995-02-01,-0.34210694
1995-03-28,-0.015086016
1995-05-23,-0.19975518
1995-07-06,-0.4866549
1995-08-22,-0.38099593
1995-09-26,-0.43175948
1995-11-15,-0.18534923
1995-12-19,-0.29769045
1996-01-31,0.12124957
1996-03-26,-0.2746142
1996-05-21,-0.27664867
1996-07-03,-0.2194018
1996-08-20,-0.2979536
1996-09-24,-0.28419825
1996-11-13,-0.3324101
1996-12-17,-0.051964715
1997-02-05,-0.024400877
1997-03-25,-0.19866042
1997-05-20,-0.25729573
1997-07-02,-0.21122594
1997-08-19,-0.017579753
1997-09-30,-0.37206665
1997-11-12,-0.10091092
1997-12-16,-0.18209986
1998-02-04,-0.14812118
1998-03-31,-0.059852824
1998-05-19,-0.12945114
1998-07-01,-0.3515181
1998-08-18,-0.19108158
1998-09-29,-0.3936088
1998-11-17,-0.15852635
1998-12-22,0.030591236
1999-02-03,-0.19194601
1999-03-30,-0.32275963
1999-05-18,-0.21857303
1999-06-30,-0.3461874
1999-08-24,-0.029823288
1999-10-05,-0.044005558
1999-11-16,-0.1827176
1999-12-21,-0.17525822
2000-02-02,0.049493093
2000-03-21,-0.10702093
2000-05-16,-0.0638109
2000-06-28,-0.31258905
2000-08-22,-0.50928766
2000-10-03,-0.22723967
2000-11-15,-0.5512079
2000-12-19,-0.5801077
2001-01-31,-0.97568274
2001-03-20,-0.82183903
2001-05-15,-0.8325371
2001-06-27,-1.1834171
2001-08-21,-1.1233954
2001-10-02,-0.9723874
2001-11-06,-0.70168483
2001-12-11,-0.5032995
2002-01-30,0.09999822
2002-03-19,0.09860145
2002-05-07,0.100324735
2002-06-26,-0.30687112
2002-08-13,-0.058453158
2002-09-24,-0.46948037
2002-11-06,-0.39458013
2002-12-10,-0.2516144
2003-01-29,0.09599288
2003-03-18,-0.28651828
2003-05-06,-0.4097607
2003-06-25,-0.36387217
2003-08-12,-0.26678574
2003-09-16,-0.2998622
2003-10-28,-0.20437703
2003-12-09,-0.24337861
2004-01-28,-0.058065433
2004-03-16,0.03356784
2004-05-04,0.31148797
2004-06-30,0.5887491
2004-08-10,0.7387545
2004-09-21,0.8450084
2004-11-10,0.756877
2004-12-14,0.6381293
2005-02-02,0.79991275
2005-03-22,0.6952309
2005-05-03,0.80029625
2005-06-30,0.62631005
2005-08-09,0.85508287
2005-09-20,0.6152971
2005-11-01,0.8876138
2005-12-13,0.7616591
2006-01-31,0.61613566
2006-03-28,0.4673863
2006-05-10,0.4679391
2006-06-29,0.30645785
2006-08-08,0.13046032
2006-09-20,-0.100567445
2006-10-25,-0.24060011
2006-12-12,-0.0026391966
2007-01-31,0.08476377
2007-03-21,-0.12615027
2007-05-09,-0.012199246
2007-06-28,-0.46226954
2007-08-07,-0.43675038
2007-09-18,-0.48429397
2007-10-31,-0.64165807
2007-12-11,-0.9535716
2008-01-30,-0.058065433
2008-03-18,-0.6159188
2008-04-30,-0.41109785
2008-06-25,0.4726818
2008-08-05,-0.77153295
2008-09-16,-1.1675421
2008-10-29,-1.0532441
2008-12-16,-0.3087813
2009-01-28,-0.058065433
2009-03-18,-0.2071879
2009-04-29,-0.026977465
2009-06-24,-0.1490178
2009-08-12,-0.16852488
2009-09-23,-0.12736912
2009-11-04,-0.15115225
2009-12-16,-0.07069715
2010-01-27,0.020573067
2010-03-16,-0.14232995
2010-04-28,-0.18277843
2010-06-23,-0.18394831
2010-08-10,0.011530868
2010-09-21,-0.10958253
2010-11-03,-0.19668956
2010-12-14,-0.16655758
2011-01-26,-0.034731463
2011-03-15,-0.109304234
2011-04-27,-0.014378242
2011-06-22,-0.10954175
2011-08-09,-0.20484874
2011-09-21,-0.16753344
2011-11-02,-0.13877453
2011-12-13,-0.1491794
2012-01-25,0.09599288
2012-03-13,-0.051416833
2012-04-25,-0.05049692
2012-06-20,-0.13999796
2012-09-13,-0.16030653
2012-10-24,-0.018703809
2012-12-12,-0.1545745
2013-01-30,-0.11785781
2013-03-20,-0.15036032
2013-05-01,-0.13832708
2013-06-19,-0.15889739
2013-07-31,-0.1511461
2013-09-18,-0.09298323
2013-10-30,-0.11297495
2013-12-18,-0.13291684
2014-01-29,-0.13085423
2014-03-19,-0.11512134
2014-04-30,-0.122073695
2014-06-18,-0.109290816
2014-07-30,-0.10826789
2014-09-17,-0.11084275
2014-10-29,-0.08343385
2014-12-17,-0.16500713
2015-01-28,-0.059231356
2015-03-18,-0.019279378
2015-04-29,-0.031063007
2015-06-17,-0.026640492
2015-07-29,-0.091791935
