Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,1.8240738,2.263403,3.5940804,2.4293184,2.3079872,2.0206976,2.037411,1.5998747,1.3138268,1.2835863,2.4778056,2.081432,2.0195072,1.1827793,2.0806234,1.3155171,2.029655,1.1401914,1.7512939,0.76362216,0.75843406,0.8728506,0.5991639,0.9075878,0.7371594,1.2381237,0.17394136,0.057689153,0.66305923,0.44735926,0.067278236,0.12811884,0.8677825,0.20127307,0.59216285,0.116967484,0.19102558,0.06698491
1,0.31480238,0.32667366,0.056638665,0.46872416,0.18163155,0.0834261,0.09409372,0.21193121,0.047300957,0.06361509,0.4160719,0.03437307,0.3616609,0.09756835,0.01623836,0.26930988,0.016881075,0.2121335,0.068130516,0.08633207,0.25619265,0.36528382,0.19344647,0.35500813,0.23393035,0.38401645,0.2910472,0.031234618,0.38596123,0.06978932,0.39304066,0.027997993,0.11589539,0.07261442,0.25758916,0.17671283,0.42274898,0.40097186
2,0.12043293,0.16754565,0.34320644,0.30929893,0.5172166,0.36907998,0.023568992,0.4233348,0.18142287,0.09257678,0.021392073,0.0056079146,0.091731094,0.03945626,0.19365346,0.38736096,0.004233392,0.035095423,0.04267452,0.034613986,0.16244063,0.25054786,0.43018463,0.048516184,0.23956528,0.077471435,0.1834,0.20024282,0.27641177,0.37102038,0.013698008,0.14795922,0.1474494,0.36023805,0.020982742,0.066147074,0.025356457,0.06453041
3,0.090569854,0.035799675,0.03505039,0.18468332,0.0046248776,0.007938128,0.03875357,0.031214092,0.24786454,0.06991893,0.1047823,0.030011632,0.04647185,0.07433515,0.5700582,0.1132112,0.027864944,0.056222618,0.1719056,0.29865456,0.12670025,0.1129643,0.099256806,0.4798682,0.050278,0.07045342,0.3603033,0.10706347,0.39405447,0.5894984,0.13017285,0.16351816,0.08198045,0.25361174,0.14953203,0.0054606553,0.106192596,0.37790698
4,0.1151141,0.5181196,0.18327528,0.12856126,0.41900906,0.17735937,0.23494127,0.025978457,0.31672427,0.057773784,0.020872634,0.27930692,0.05973831,0.32720456,0.11463959,0.051182795,0.0077170217,0.011461327,0.02586522,0.09383967,0.14773445,0.011182512,0.33750224,0.012333437,0.012530119,0.036407396,0.31341285,0.021784,0.036716953,0.004072451,0.011752104,0.12960654,0.14175013,0.022993634,0.0030087016,0.0232324,0.19763923,0.01180863
5,0.09674314,0.028477995,0.01730808,0.041770604,0.14727789,0.069267005,0.25034544,0.0279506,0.12614617,0.013128864,0.064135246,0.13359338,0.12513621,0.08418304,0.04777357,0.27476886,0.30282846,0.15458801,0.2628654,0.0919311,0.056439195,0.10375688,0.01511597,0.063493386,0.10014942,0.13660747,0.05088006,0.10448291,0.021506969,0.041016266,0.2356859,0.016605452,0.012273303,0.21743642,0.041324947,0.029592272,0.012349603,0.082388036
6,0.18795788,0.137604,0.00904434,0.110665396,0.21487573,0.007963462,0.026116442,0.051122006,0.028428096,0.018862989,0.011320304,0.100255005,0.027061608,0.06202584,0.030231629,0.38604218,0.11326119,0.13201341,0.064588964,0.023356523,0.02504646,0.09426875,0.0397029,0.008224595,0.022305818,0.060454622,0.025113523,0.013542181,0.014331482,0.017614126,0.02147709,0.045810938,0.13429792,0.14525771,0.031147178,0.052628845,0.029348662,0.09654536
7,0.065243855,0.012012346,0.006918932,0.015943924,0.010011252,0.06983607,0.08914931,0.025064185,0.5141699,0.037682332,0.01322048,0.02893294,0.018913096,0.006046693,0.023209449,0.013452664,0.03224648,0.007060436,0.02281346,0.029652068,0.01554368,0.013159944,0.05669882,0.108121105,0.005263669,0.02977409,0.03810585,0.038873587,0.10165346,0.04536443,0.0048192292,0.07576415,0.03257946,0.13004467,0.13689142,0.07625793,0.06136343,0.0014357239
8,0.03585633,0.021711461,0.0015464681,0.048653767,0.061654486,0.024843168,0.06649403,0.024287876,0.0098714605,0.013064459,0.018028252,0.048558697,0.07306211,0.058064096,0.034787014,0.03606768,0.007077017,0.46082497,0.009120612,0.012121117,0.009781103,0.005130036,0.0094355345,0.048962098,0.0018600035,0.010323305,0.002256642,0.04322565,0.059713308,0.02005459,0.20042044,0.062269103,0.0419092,0.12006427,0.11864585,0.077262975,0.09090122,0.19017935
9,0.07546042,0.019452907,0.03079741,0.029839545,0.01640947,0.012965053,0.046939015,0.028456258,0.067205526,0.024830224,0.051191185,0.06939086,0.043995664,0.047177073,0.022008397,0.027869776,0.27798918,0.05044999,0.061016135,0.20901519,0.05014398,0.025260543,0.022347584,0.009481343,0.0904083,0.0068529625,0.058740642,0.04136234,0.007500679,0.045255043,0.062651776,0.13373727,0.07354568,0.055683114,0.00927674,0.04230452,0.06784914,0.042762786
