Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.43022555,0.8440137,0.71048045,1.3803601,0.5386389,0.6452513,0.8886502,0.5723454,0.45237422,0.38535082,0.6762794,0.4088347,1.3068528,0.34797674,0.33944488,0.8614277,0.17785898,0.77690536,0.2620327,0.22051086,0.08904247,0.12855424,0.22836645,0.076015346,0.07665649,0.2728451,0.070669465,0.057000697,0.0506017,0.36424738,0.22644547,0.6787923,0.003513047,0.06239274,0.13947648,0.16461685,0.4490972,0.32373738,0.5064853,0.36586925,0.050821993,0.0033585506
1,0.5015384,0.36660883,0.1643922,0.064193845,0.16562955,0.22189215,0.3659675,0.075209364,0.07320488,0.30130327,0.16779257,0.27008814,0.31283933,0.41433537,0.3588776,0.37735802,0.09322202,0.056373138,0.07713244,0.39049184,0.54677725,0.2702755,0.024726436,0.29982746,0.040971965,0.07253578,0.033687647,0.3442816,0.053504214,0.24059455,0.055947557,0.06883291,0.14018737,0.11291413,0.17248839,0.3230088,0.051802814,0.044091858,0.08318326,0.47787958,0.010512865,0.0014608173
2,0.2506972,0.22464941,0.4650047,0.12176758,0.17865229,0.078200616,0.085970744,0.12701593,0.009408964,0.07921738,0.11728583,0.037341557,0.034924656,0.1443323,0.12666555,0.0865703,0.20658843,0.052435353,0.25819305,0.39929968,0.22371684,0.2848466,0.055559337,0.1790177,0.030783487,0.03515912,0.010263201,0.041110933,0.1513141,0.3332932,0.21232788,0.13870914,0.026835404,0.051376153,0.098640054,0.0754912,0.20881194,0.2247225,0.31722575,0.18270914,0.28476188,0.069188595
3,0.00997811,0.039371673,0.20184171,0.016102966,0.10413217,0.09428381,0.41565415,0.0777157,0.094379574,0.25496054,0.25294757,0.06431779,0.16705653,0.21837957,0.06277967,0.08770616,0.427329,0.051351413,0.15975577,0.025984038,0.105843425,0.12530603,0.029823706,0.24195379,0.009228974,0.1707198,0.1312107,0.15350455,0.18522021,0.012862172,0.27472487,0.20778582,0.01268068,0.034318592,0.41101626,0.011322793,0.5878895,0.12770693,0.088051185,0.0041763205,0.12944412,0.17453314
4,0.030988978,0.12202873,0.09850949,0.11512776,0.07257463,0.050033443,0.045345843,0.0062330253,0.19534194,0.079400666,0.19256417,0.11186161,0.19063821,0.063042894,0.021150243,0.17155029,0.027910706,0.0933932,0.058031086,0.0664341,0.07923397,0.48913646,0.027114853,0.106807634,0.018008238,0.4829292,0.021142643,0.03204729,0.021377083,0.06049737,0.14425865,0.20797792,0.070161626,0.03625546,0.09472815,0.18638185,0.17439143,0.057284467,0.12065678,0.27690026,0.093301475,0.020170022
5,0.048831552,0.36412138,0.05672922,0.14650188,0.26752138,0.113862626,0.08849114,0.33705997,0.14385362,0.0068527185,0.08447108,0.02294878,0.0345499,0.0065374263,0.15230778,0.10035667,0.012286764,0.032650217,0.016688501,0.041371226,0.04062558,0.0078046224,0.027759846,0.01773422,0.108427346,0.018844755,0.16460516,0.0043457877,0.07014744,0.107385665,0.038016103,0.025077838,0.24897039,0.10882144,0.09130995,0.032074995,0.04135791,0.016891692,0.0078393305,0.045175217,0.01635589,0.047553804
6,0.2578048,0.08700645,0.068416186,0.11464224,0.03299529,0.03886717,0.006888764,0.0037168928,0.15621328,0.07005374,0.029204916,0.053434152,0.24657874,0.12396319,0.019098906,0.017393183,0.18960819,0.02397615,0.06056477,0.07398467,0.03625008,0.014807297,0.045528162,0.034751333,0.0024533123,0.09298616,0.029327601,0.009394389,0.016980186,0.0009594922,0.06304192,0.040843546,0.053115223,0.10361227,0.013014574,0.016117482,0.005960143,0.13788445,0.021416552,0.013802086,0.051017817,0.02072401
7,0.008177175,0.32591614,0.11258207,0.2767594,0.18437688,0.1023208,0.11518587,0.09972887,0.0125954095,0.08575111,0.09893536,0.13148361,0.14653178,0.09377052,0.12409825,0.14159937,0.010038624,0.009858356,0.1411228,0.017729893,0.07006504,0.11560572,0.073317334,0.07201716,0.0057610776,0.026691485,0.06032777,0.06160055,0.14217424,0.13255763,0.50735354,0.29393238,0.24340333,0.22073787,0.040818065,0.14008337,0.074270085,0.06096623,0.088429995,0.039289348,0.027125396,0.04818642
8,0.05947556,0.037282657,0.02958824,0.15008533,0.04768171,0.06730428,0.03340391,0.029695738,0.016932473,0.067456886,0.107437894,0.086446024,0.039972767,0.13260648,0.050553806,0.012779754,0.006794249,0.025460145,0.021144364,0.23033994,0.011553484,0.04585444,0.05103692,0.049128808,0.014984988,0.011030281,0.04766943,0.021859797,0.012648271,0.009696307,0.020155106,0.04298117,0.03555246,0.16933109,0.026519174,0.012799773,0.009357938,0.05935841,0.13797715,0.07659355,0.10915377,0.024097368
9,0.025816534,0.03231501,0.014933211,0.015085286,0.02755315,0.035021693,0.058077797,0.040572703,0.029717468,0.013400791,0.04177181,0.057411265,0.048578776,0.014179619,0.009018602,0.008915238,0.036182903,0.035465635,0.038140148,0.03505334,0.052069034,0.35998213,0.016816894,0.080794945,0.05715605,0.025416492,0.02818618,0.016159037,0.00789891,0.02510125,0.022142034,0.007881982,0.005884343,0.07831369,0.041006126,0.099096715,0.022497267,0.03091994,0.0048305066,0.07384793,0.031418953,0.005617801
