Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.052617393,0.12134537,0.21026906,0.3752628,0.055461355,0.28518772,0.036364958,0.0029677725,0.45355177,0.3264617,0.2891491,0.03976703,0.06712973,0.041818906,0.25759077,0.1585615,0.2125139,0.053980116,0.1771865,0.17681079,0.08717123,0.1988675,0.5162489,0.09898416,0.07321911,0.148866,0.01907069,0.15561995,0.49052173,0.09552229,0.18871316,0.18090087,0.5172039,0.2076336,0.46594328,0.030420965,0.14195251,0.17252634,0.05297401,0.25643942,0.100561224,0.021953924,0.0064537646
1,0.18639193,0.19441718,0.037618615,0.1891877,0.047810085,0.07471216,0.3629819,0.18541187,0.07914379,0.2761075,0.15910637,0.21197835,0.1372396,0.2691272,0.21417686,0.17446741,0.28029388,0.035566103,0.16063368,0.021771975,0.09819524,0.18904315,0.40025982,0.27782065,0.19674225,0.06880051,0.035733644,0.13276611,0.06106639,0.12359002,0.017669672,0.14902255,0.35086697,0.22967316,0.0684857,0.10074428,0.031211354,0.19377385,0.040048994,0.2424707,0.05066754,0.05536347,0.055262644
2,0.5926776,0.20750542,0.054070402,0.061357453,0.039366543,0.22520463,0.01941898,0.058220882,0.12419425,0.19202134,0.025984675,0.20912203,0.6140403,0.017355949,0.10887363,0.14462724,0.006365177,0.3015243,0.115975454,0.030544069,0.11303475,0.01362036,0.013612789,0.27269417,0.060539253,0.10170378,0.11617783,0.052660428,0.22566065,0.07607889,0.4938582,0.15042098,0.65023184,0.03524994,0.07992465,0.015097836,0.06742469,0.024149012,0.31479317,0.013525963,0.021747958,0.12315467,0.024739305
3,0.297022,0.061134778,0.2610123,0.066398926,0.30187097,0.055689335,0.19759764,0.19536819,0.22140674,0.34527296,0.25412786,0.1730031,0.3820915,0.023063557,0.026647229,0.09164135,0.14773342,0.2558736,0.21113749,0.07120302,0.3060779,0.26580495,0.06309669,0.059061375,0.07448967,0.017018223,0.012458641,0.041238498,0.106777824,0.0061730566,0.08383753,0.09076611,0.012047995,0.32180315,0.023841994,0.012803351,0.010326933,0.01771336,0.22224095,0.028814929,0.0087445825,0.041627787,0.0313258
4,0.08302751,0.027274417,0.019939413,0.0061629713,0.017038414,0.058212392,0.0823104,0.36302382,0.0901172,0.09320982,0.19827116,0.2611606,0.010327991,0.0017983958,0.31000978,0.055295788,0.04307116,0.015816294,0.060352188,0.18882728,0.06848657,0.045643635,0.049015466,0.08024626,0.0045987577,0.031312604,0.046230897,0.006432322,0.14353487,0.12502737,0.063375376,0.11777271,0.105162054,0.11515775,0.048223358,0.21197054,0.024472976,0.085623495,0.048065603,0.0644957,0.16020606,0.08350678,0.02980553
5,0.0029751144,0.039669,0.14044277,0.13520685,0.0517305,0.09242915,0.11304057,0.007975628,0.025188684,0.06323078,0.049370687,0.16105331,0.041905392,0.009603755,0.017514529,0.035081014,0.05890009,0.19723243,0.003757917,0.0019175962,0.011085598,0.43254718,0.013759807,0.07533606,0.17213689,0.62028205,0.40640438,0.20988333,0.15910977,0.112832114,0.01841601,0.010501312,0.079686835,0.10467216,0.32265455,0.09494011,0.20780347,0.062405087,0.011131691,0.0043951003,0.15954539,0.100582,0.00010590796
6,0.007423176,0.015754286,0.049814295,0.020490034,0.0144772995,0.023932325,0.028361578,0.09202452,0.07279226,0.16711827,0.053182382,0.035872374,0.09929746,0.011700535,0.013624035,0.03115932,0.0385802,0.1428841,0.014438547,0.03393779,0.034367606,0.028709963,0.45287335,0.009104274,0.044446316,0.009555827,0.033492725,0.005344339,0.0313429,0.019463344,0.04849112,0.044806093,0.05495543,0.004791056,0.052839667,0.029777605,0.013618763,0.013232574,0.021854416,0.07876124,0.019599395,0.012420189,0.015336605
7,0.021162178,0.01573014,0.037125945,0.047803372,0.08272955,0.055738535,0.008804638,0.007927617,0.0056862747,0.01732351,0.024509326,0.0999405,0.064097345,0.024351211,0.0027286818,0.041740943,0.07408272,0.0056802165,0.022863913,0.005312975,0.018786384,0.15885626,0.020569827,0.030573556,0.021972006,0.45015192,0.037088506,0.0038619698,0.016846213,0.044696253,0.008683259,0.041958705,0.02675702,0.074758545,0.02267858,0.01515439,0.05781085,0.025421057,0.099795654,0.12675321,0.062057618,0.050078556,0.036215857
8,0.06296136,0.019567618,0.06201146,0.056965195,0.04459603,0.017682388,0.012858775,0.012830995,0.06663591,0.06977742,0.075616,0.04522886,0.031916544,0.022050193,0.006712274,0.0042951666,0.15704533,0.0150653375,0.011949534,0.0070301397,0.039648294,0.02012986,0.08386944,0.0958256,0.06741122,0.027299378,0.014969074,0.034635317,0.035324037,0.041549675,0.022291977,0.0059412066,0.018278683,0.0344329,0.023483032,0.020041863,0.009585439,0.0050834944,0.01778799,0.03661935,0.32212946,0.08565704,0.06612072
9,0.123909585,0.07510698,0.030452024,0.035971336,0.016310502,0.049403705,0.011136124,0.036238812,0.00662084,0.024893876,0.060557935,0.030712131,0.0034452218,0.03073453,0.031675495,0.008355987,0.04043605,0.018986205,0.034046102,0.014756879,0.029630562,0.11739445,0.05961187,0.060140997,0.0012332055,0.009649387,0.018608348,0.02724129,0.015001358,0.01664161,0.025508322,0.053580653,0.0073056,0.021776017,0.00815232,0.06026351,0.009524379,0.021738103,0.021040875,0.017451419,0.38056147,0.009039173,0.024664547
