Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0.3073429,0.11437102,0.18166962,0.20304579,0.5177887,0.36278063,0.095299646,0.26044762,0.20931199,0.6576116,0.119440354,0.08059495,0.28881085,0.13302913,0.13063182,0.08328653,0.21615693,0.18780692,0.07281171,0.17918347,0.66515696,0.18559217,0.45488867,0.2254355,0.11110773,0.069447145,0.22190528,0.39671674,0.23393026,0.2568521,0.22870417,0.06021129,0.13533728,0.09636603,0.042196993,0.07135546,0.10957209
1,0.06630085,0.419563,0.37082082,0.46645907,0.008589324,0.02084208,0.08167808,0.08671751,0.13949303,0.022897443,0.053378403,0.0202713,0.25742614,0.3630618,0.0071360413,0.06489124,0.039469607,0.14149833,0.10018332,0.010317481,0.17364047,0.6759014,0.017405834,0.25242168,0.1985273,0.28172404,0.031666216,0.089987665,0.02647074,0.20877923,0.025434688,0.14069453,0.14517105,0.04649478,0.57227546,0.5548426,0.45549524
2,0.031187262,0.14247838,0.006634243,0.015601385,0.053080153,0.4003896,0.07986288,0.10077302,0.073203504,0.09192626,0.095644936,0.26249143,0.13505012,0.04965303,0.053959355,0.031901978,0.37289977,0.124786586,0.24144757,0.02943472,0.053559903,0.008699553,0.059356064,0.07170226,0.025530916,0.07870892,0.15766379,0.044590835,0.0031373408,0.047072213,0.04578505,0.052614123,0.069389574,0.17234091,0.2319554,0.08222501,2.13981
3,0.44072068,0.051872645,0.12414719,0.01873041,0.057033174,0.12670718,0.22765473,0.15309653,0.09994911,0.09409776,0.026181411,0.1565476,0.0062251473,0.040766314,0.11221776,0.05543897,0.041893005,0.11172782,0.2873983,0.06738213,0.029925454,0.0038490298,0.102637194,0.014335392,0.048068568,0.008680065,0.023404006,0.14103384,0.03168352,0.038935237,0.3132338,0.06616655,0.05538574,0.054346144,0.004495008,0.10423563,0.10420818
4,0.038436487,0.04048004,0.03736816,0.008044504,0.018259015,0.03871011,0.09687382,0.01967764,0.08056747,0.09713453,0.049411677,0.033633403,0.051949553,0.01968144,0.035417147,0.019922845,0.05286292,0.15270618,0.029820595,0.033012934,0.030664722,0.009454937,0.01595325,0.015103624,0.15665682,0.04641888,0.05350426,0.025465975,0.053105764,0.012606882,0.22301993,0.06226451,0.13949463,0.0047593783,0.036481246,0.11842396,0.00753054
5,0.004203022,0.0343499,0.01991748,0.03710502,0.016395062,0.070001505,0.0069429954,0.013625596,0.042918675,0.008341905,0.011578981,0.012286125,0.046388034,0.015323827,0.008424657,0.010144329,0.01844475,0.05088169,0.019503988,0.32854116,0.0042113215,0.013689656,0.2277116,0.005397692,0.09464042,0.088554114,0.019970493,0.039141215,0.07442269,0.046460338,0.004774604,0.044465005,0.04312644,0.17554694,0.032285538,0.008851194,0.0018550906
6,0.023040714,0.02298549,0.022245595,0.027445046,0.08136119,0.022272782,0.061746154,0.028481616,0.010670128,0.007418995,0.056000516,0.0116413785,0.036910415,0.029880254,0.012452608,0.0035114232,0.008543063,0.06996569,0.08771319,0.027299218,0.004470657,0.000981498,0.0023336436,0.017023465,0.043161526,0.018237978,0.013191997,0.024523914,0.025520567,0.040116396,0.005130874,0.016764559,0.0033901534,0.0025598817,0.024970733,0.020377886,0.0008180474
7,0.017426575,0.0149633195,0.017179666,0.004823663,0.0059412043,0.0028362125,0.060336415,0.0042307237,0.054753292,0.039608072,0.019157413,0.030513292,0.020539021,0.0029555657,0.019999335,0.021837065,0.0059935628,0.016754571,0.033506323,0.05543187,0.010273631,0.24199471,0.056851823,0.04020036,0.0577492,0.12613706,0.06415601,0.026604304,0.038120456,0.07472212,0.03999801,0.03970591,0.049979933,0.0066132736,0.02185445,0.023975974,0.026805568
8,0.019353595,0.030783394,0.022385806,0.040145107,0.02694299,0.04216762,0.024144564,0.003715846,0.0067199282,0.03376312,0.0020534243,0.0040205317,0.008886997,0.0062716235,0.017195005,0.0051969355,0.009532556,0.051875066,0.02525428,0.064233236,0.17512059,0.0025336756,0.018412938,0.00070863875,0.017790787,0.01774308,0.013628682,0.013177693,0.017183907,0.011925331,0.04616548,0.032967925,0.017381223,0.091051176,0.077628456,0.060754098,1.7499731e-06
9,0.06128478,0.015436369,0.11989647,0.064545944,0.048654687,0.10719836,0.03197705,0.0027915798,0.0067714155,0.01841525,0.023019223,0.012622438,0.023883805,0.0021594013,0.0117371,0.00085602613,0.016962836,0.025504954,0.015318309,0.010129018,0.0067912834,0.02860219,0.064151704,0.050926175,0.022797871,0.030356156,0.03768782,0.03547791,0.07814897,0.02239697,0.0007508863,0.016158506,0.01777874,0.0016339475,0.009299571,0.002933239,0.022087464
10,0.025520036,0.008573204,0.016286613,0.00032486793,0.006494481,0.008470831,0.015681734,0.010178202,0.00385384,0.011499931,0.0058559175,0.0023372574,0.0018047034,0.031816818,0.020025242,0.004063421,0.036053095,0.011330093,0.049913608,0.04039626,0.015584623,0.1096304,0.05751753,0.034489665,0.0345966,0.044767827,0.013249377,0.022414224,0.027130151,0.14300127,0.060847994,0.0055817952,0.011614554,0.015602531,0.040814325,0.01034962,0.03159213
11,0.040006015,0.029843794,0.0028569724,0.0037795284,0.009559131,0.07964523,0.0603593,0.033690162,0.0710046,0.07435967,0.060245547,0.01765446,0.018631745,0.046905324,0.16160841,0.06338879,0.112926945,0.15317252,0.019171007,0.01407865,0.039829273,0.05528227,0.064999014,0.012351895,0.013195817,0.02238875,0.014740195,0.05278277,0.01595225,0.06903525,0.040002674,0.045792576,0.045401465,0.048399024,0.0799119,0.11067638,0.006248113
12,0.005678301,0.0411949,0.05962531,0.15327619,0.074268244,0.015991585,0.0059669227,0.0106671415,0.0046676137,0.03491053,0.0047125625,0.026324693,0.013411842,0.008123291,0.0025239768,0.023459591,0.027746776,0.034488566,0.021525096,0.0010224882,0.035304103,0.028126925,0.020216182,0.021582775,0.0046085874,0.011607146,0.047460534,0.0276118,0.026003983,0.012506024,0.025322841,0.017874207,0.030693434,0.03240224,0.03279915,0.003546428,0.013905566
13,0.01487599,0.03130163,0.024229202,0.006652386,0.04261609,0.078604974,0.14123379,0.069721006,0.026178364,0.009027276,0.012306936,0.034086376,0.057587832,0.021255199,0.04414314,0.005833192,0.012792766,0.01877299,0.0039589657,0.011295283,0.019388348,0.028173875,0.06470303,0.078540504,0.04514522,0.019603001,0.026834989,0.0067688306,0.01140203,0.049949266,0.07290242,0.020600393,0.030638607,0.0021048721,0.0022949907,0.05386901,0.02438843
14,0.036989436,0.01952343,0.0014440562,0.0065000374,0.036699288,0.023203995,0.023710996,0.020552007,0.009464224,0.029169232,0.033146627,0.018874228,0.02446185,0.028679796,0.012154078,0.009811682,0.014494474,0.032406177,0.022279661,0.00970598,0.0043916716,0.007330534,0.018948104,0.010847863,0.046467807,0.00090652594,0.015530486,0.009080801,0.011846958,0.00029265316,0.026534604,0.0032164215,0.01938315,0.013731815,0.0130644515,0.006369421,0.0025389995
15,0.0053899875,0.010060948,0.024730891,0.007835467,0.03299427,0.007828741,0.016357463,0.00575496,0.025587823,0.0038486524,0.00400626,0.0011248543,0.019346096,0.07345258,0.038769018,0.022462485,0.0064490405,0.011422121,0.019079158,0.023833219,0.013361987,0.019373478,0.00830749,0.00430645,0.014412314,0.0039444445,0.0050361697,0.014584997,0.011597732,0.0063584745,0.01566477,0.011007336,0.0013272446,0.013489018,0.018005352,0.020773433,0.006753226
16,0.004801778,0.004427952,0.0064143613,0.010358143,0.016566504,0.040763855,0.00026819803,0.0005315161,0.025134746,0.009007599,0.022774749,0.017257292,0.03009926,0.03048253,0.019021617,0.015673684,0.007562718,0.00473719,0.010195961,0.007625683,0.001113508,0.0021708682,0.010525143,0.006541698,0.0018818852,0.008925561,0.0032694652,0.0014972738,0.009771019,0.013290571,0.0041208486,0.0016989448,0.019432917,0.005083672,0.006497862,0.034088813,0.0043368107
17,0.0045598047,0.006618434,0.018409433,0.006002701,0.0018604128,0.0040910263,0.007729005,0.008538045,0.0038004066,0.03466187,0.01579915,0.0029327313,0.024969414,0.010442817,0.0029863091,0.0121957855,0.01736781,0.004071526,0.01404832,0.013064151,0.0041230274,0.008901937,0.0049201343,0.0026555907,0.0056350227,0.01676507,0.009129641,0.010778351,0.0006594851,0.0023907144,0.0045007346,0.0047482885,0.009354374,0.00032900882,0.0015659049,0.005342746,0.003813803
