Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.29112723,0.62081337,0.8204728,0.7204127,0.8791933,1.3131052,0.8567501,1.2423801,0.5030652,0.92955077,0.32728845,0.8425549,0.6358243,0.17584106,1.0665026,0.5002909,0.19372386,0.6061188,0.10082792,0.18229738,0.102281265,0.44404554,0.043152317,0.1870589,0.60329914,0.026865816,0.4234891,0.026867729,0.47243154,0.13326928,0.26008412,0.3936209,0.14070946,0.051623482,0.46770555,0.99553007,0.09996232,0.27777535,0.02217466,0.25164694
1,0.33754516,0.00863849,0.13858534,0.12070867,0.22492199,0.65440506,0.32534638,0.09664699,0.22812386,0.06500928,0.34411868,0.04215412,0.057896227,0.18322319,0.08785779,0.10589219,0.13244358,0.14204326,0.010690015,0.0035180463,0.030258862,0.2501769,0.09363014,0.20148455,0.2333672,0.02114869,0.17411003,0.7771771,0.03267832,0.12766019,0.25573996,0.102516115,0.04037433,0.36362597,0.11136808,0.06074295,0.058715604,0.20571426,0.14181907,0.18348736
2,0.07715941,0.26374257,0.2159468,0.20074448,0.084765874,0.088574044,0.12620965,0.15325698,0.006140014,0.0044857273,0.006898558,0.048479863,0.04922881,0.07868034,0.2171452,0.06702103,0.06997743,0.17633577,0.27509162,0.043327224,0.11101593,0.03800079,0.15847349,0.10258209,0.08227609,0.08359158,0.09702413,0.030711884,0.04845694,0.1530262,0.03598662,0.023588458,0.030877894,0.27855182,0.47342315,0.12525848,0.08844357,0.10959045,0.05266597,0.04796902
3,0.028261378,0.08869114,0.079907656,0.16748758,0.019994548,0.045596004,0.057129085,0.04312891,0.08424915,0.12167501,0.15593264,0.06235326,0.044849273,0.06440695,0.011235762,0.026412204,0.07564396,0.18279545,0.15547334,0.10183035,0.2688205,0.060924854,0.027107308,0.038478013,0.010404056,0.016482737,0.04831643,0.10620086,0.044635925,0.44655252,0.17072573,0.060090497,0.050989702,0.02912976,0.045173798,0.039300583,0.018869791,0.028511902,0.020293122,0.02684566
4,0.052799515,0.05481448,0.02837106,0.014158458,0.043581095,0.017976481,0.033912078,0.10090147,0.013129252,0.009675227,0.013173219,0.024107682,0.09429036,0.035023656,0.3476404,0.017723178,0.12051943,0.040104866,0.049046975,0.11714862,0.01097418,0.040420353,0.09227449,0.035776198,0.035372756,0.036716357,0.005384991,0.015185155,0.25686625,0.009630653,0.018589437,0.018619895,0.07473276,0.012467329,0.014258534,0.0026629833,0.023961578,0.040420577,0.15360658,0.04854816
5,0.0068650115,0.008511003,0.048143767,0.024226937,0.029767167,0.00485863,0.004933595,0.008114533,0.0066265636,0.017345987,0.015355256,0.069187954,0.02413712,0.15898237,0.097772986,0.02326991,0.0153481355,0.027764386,0.040213842,0.06806491,0.018564291,0.017098801,0.011819387,0.01032249,0.012834404,0.010084989,0.009224601,0.3325575,0.29388508,0.029430892,0.036510088,0.07121208,0.10874366,0.0027707976,0.011394516,0.03952906,0.025018923,0.014776351,0.016638698,0.0022887588
6,0.020758986,0.014473332,0.011746801,0.044869814,0.013663936,0.025809582,0.0054343985,0.07388801,0.016943894,0.19802858,0.04970635,0.032640174,0.032668855,0.011049457,0.00431654,0.023830868,0.06253822,0.05640934,0.034888204,0.0072785807,0.02622583,0.05039289,0.057528183,0.07082899,0.029242229,0.0111438725,0.016265519,0.025000907,0.033880834,0.021300444,0.22835833,0.017452616,0.014570756,0.008689554,0.0020370516,0.027649108,0.019046446,0.009084492,0.029687108,0.03218068
7,0.021809129,0.007371114,0.01943886,0.022151401,0.016071763,0.045944598,0.015672466,0.032516964,0.16851258,0.052599676,0.008377666,0.059267327,0.060234006,0.0024862282,0.007917629,0.032185383,0.108774416,0.009173968,0.0009429421,0.019384457,0.02464851,0.011115467,0.028681546,0.014578482,0.06390826,0.057301562,0.075667694,0.023261322,0.014462788,0.24404915,0.020989554,0.014773266,0.0127083585,0.015839394,0.009044843,0.018315004,0.09928432,0.07896961,0.008920094,0.009015445
8,0.11559194,0.029579962,0.0077973967,0.07559116,0.020405747,0.13869208,0.061095256,0.045592453,0.050879255,0.0084699895,0.020708056,0.1518158,0.15784997,0.012615162,0.03762961,0.009772364,0.032831483,0.027549814,0.030357745,0.014148684,0.013291296,0.026888873,0.046068847,0.19163522,0.064480916,0.0440885,0.0073241605,0.011343862,0.09614041,0.073416814,0.023513515,0.04428273,0.0066152853,0.026051233,0.050675116,0.12623836,0.02644669,0.047993176,0.006706531,0.011332893
9,0.023830373,0.035006598,0.053723134,0.006070981,0.039578497,0.027506368,0.010697193,0.014333205,0.0283502,0.0046821516,0.020617528,0.07589421,0.004105297,0.09387791,0.05294753,0.0599928,0.019902557,0.053852767,0.19376653,0.0037358308,0.018550117,0.02759744,0.067735136,0.016997356,0.050713513,0.026864689,0.041229755,0.030661736,0.028699664,0.011125294,0.01768837,0.017592603,0.08393477,0.05203131,0.05617792,0.057271414,0.023649152,0.018130235,0.04289745,0.001156718
