Effective Date,sentiment_score,version_timestamp
2009-08-12,0.016083876,2009-06-24
2009-09-23,-0.011135879,2009-06-24
2009-11-04,0.06091729,2009-06-24
2009-12-16,0.18690187,2009-06-24
2010-01-27,0.16456392,2009-06-24
2010-03-16,0.020315118,2009-06-24
2010-04-28,0.052021388,2009-06-24
2010-06-23,0.021950342,2009-06-24
2010-08-10,0.0481554,2009-06-24
2010-09-21,0.07765717,2009-06-24
2010-11-03,0.1682881,2009-06-24
2010-12-14,0.20887053,2009-06-24
2011-01-26,0.15567985,2009-06-24
2011-03-15,0.118582584,2009-06-24
2011-04-27,0.14981033,2009-06-24
2011-06-22,0.008871899,2009-06-24
2011-08-09,0.07268293,2009-06-24
2011-09-21,0.10291848,2009-06-24
2011-11-02,0.118572034,2009-06-24
2011-12-13,0.024915433,2009-06-24
2012-01-25,0.1350042819976806,2011-12-13
2012-03-13,0.2568411231040954,2011-12-13
2012-04-25,0.199068084359169,2011-12-13
2012-06-20,0.2128296047449112,2011-12-13
2012-09-13,0.0253758113831281,2011-12-13
2012-10-24,0.0604090020060539,2011-12-13
2012-12-12,0.102928303182125,2011-12-13
2013-01-30,0.0588024444878101,2011-12-13
2013-03-20,0.0505761131644248,2011-12-13
2013-05-01,0.0457533299922943,2011-12-13
2013-06-19,0.0803225338459014,2011-12-13
2013-07-31,0.0495941825211048,2011-12-13
2013-09-18,-0.0104944566264748,2011-12-13
2013-10-30,0.0608452297747135,2011-12-13
2013-12-18,0.0704304799437522,2011-12-13
2014-01-29,0.0916158035397529,2011-12-13
2014-03-19,0.0764987394213676,2011-12-13
2014-04-30,0.081854872405529,2011-12-13
2014-06-18,0.1173221319913864,2011-12-13
2014-07-30,0.1411122232675552,2011-12-13
2014-09-17,-0.053320903331041336,2014-07-30
2014-10-29,-0.049117282032966614,2014-07-30
2014-12-17,-0.039157453924417496,2014-07-30
2015-01-28,-0.042175568640232086,2014-07-30
2015-03-18,-0.07270026952028275,2014-07-30
2015-04-29,0.02076217345893383,2014-07-30
2015-06-17,0.018509283661842346,2014-07-30
2015-07-29,-0.01070120744407177,2014-07-30
2015-09-17,-0.07068727165460587,2014-07-30
2015-10-28,-0.05350113287568092,2014-07-30
2015-12-16,-0.043081555515527725,2014-07-30
2016-01-27,-0.1321854293346405,2014-07-30
2016-03-16,-0.029537996277213097,2014-07-30
2016-04-27,-0.04819149523973465,2014-07-30
2016-06-15,-0.023741474375128746,2014-07-30
2016-07-27,-0.07675676792860031,2014-07-30
2016-09-21,-0.024297481402754784,2014-07-30
2016-11-02,-0.002309547271579504,2014-07-30
2016-12-14,-0.05185702443122864,2014-07-30
2017-02-01,0.020645111799240112,2014-07-30
