Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,1.6793232,1.7897598,1.0083544,0.90567195,0.8650706,1.9216077,1.2619581,1.5253334,0.9252877,0.6025698,0.97910833,1.0981439,0.77615446,0.5351585,0.5642535,0.4306712,0.47408122,0.5977069,1.74062,0.84748065,0.47067127,0.1949559,0.48820138,0.449714,0.2507671,0.3989399,0.0226614,0.25498015,0.04045293,0.07676723,0.19970846,0.37220204,0.018856626,0.15778817,0.04772594,0.2815771,0.2769438,0.06563882,0.12187664,0.35466444,0.15956992
1,0.968548,0.046061818,0.1751425,0.49033004,0.1374355,0.2497191,0.2471579,0.08140838,0.12873511,0.0070741083,0.0071246177,0.32208353,0.037702013,0.046822753,0.20128843,0.029725594,0.48876345,0.10380743,0.03418683,0.01340515,0.19772553,0.1595449,0.25603142,0.13937029,0.013432689,0.02259205,0.030051041,0.183819,0.18279216,0.06614795,0.049360294,0.09089166,0.424881,0.18695979,0.20703642,0.056276675,0.39230466,0.02256228,0.09867523,0.17273025,0.16838597
2,0.2069017,0.23922195,0.24066402,0.46314102,0.02936294,0.03950773,0.032419484,0.16583712,0.036118492,0.03883584,0.009923784,0.1214379,0.3263804,0.17665944,0.030815676,0.044517048,0.14441636,0.2236038,0.15105984,0.31609273,0.07221027,0.044266418,0.08133702,0.32625723,0.1402931,0.1328405,0.058532543,0.06403638,0.14656968,0.06646823,0.04532163,0.012571493,0.21423726,0.19424714,0.11001776,0.015185527,0.036122575,0.013694037,0.040169537,0.012647083,0.02317502
3,0.013987679,0.015531818,0.22052574,0.055616744,0.13215616,0.067925334,0.13176414,0.029815797,0.14336938,0.11986922,0.042647935,0.0174218,0.16213958,0.013222452,0.12870947,0.017140638,0.13597424,0.0032431956,0.0614111,0.029762333,0.016945757,0.045168117,0.033104196,0.004704726,0.07465579,0.019170273,0.002279434,0.0074959677,0.032400183,0.068623364,0.10238002,0.28919876,0.07745454,0.09259655,0.09876078,0.06631007,0.036245745,0.0048649493,0.118966624,0.009248851,0.022054367
4,0.023662487,0.047086574,0.09759446,0.0022640324,0.0062247645,0.021046992,0.12140795,0.09317088,0.04645567,0.17919195,0.028807346,0.014886636,0.0034801462,0.03332496,0.015764136,0.030990869,0.099385455,0.006322028,0.016500264,0.035338897,0.004941839,0.02888212,0.20776714,0.012121986,0.035264373,0.051378813,0.15743661,0.048744794,0.0069140187,0.007937511,0.011073936,0.016077068,0.038542747,0.0051553277,0.029019263,0.004692479,0.049359158,0.036460012,0.0007273441,0.044233244,0.082315646
5,0.047507547,0.11117941,0.006629676,0.029887829,0.017820297,0.0027254336,0.01038176,0.027103247,0.076348536,0.101740986,0.005982236,0.01824093,0.02955441,0.012519373,0.04165531,0.008566,0.0051685283,0.0338511,0.0199989,0.0057187006,0.0041120113,0.009935422,0.09676325,0.0040423013,0.011663885,0.016122371,0.2043897,0.021169253,0.022216242,0.012223283,0.009860432,0.002691694,0.025511526,0.11394607,0.025099684,0.01568864,0.011438811,0.01012082,0.0010481651,0.0012436599,0.018922575
6,0.016138978,0.012387161,0.03973307,0.0040128995,0.038287003,0.0077383975,0.012945304,0.06132582,0.009836593,0.0029012812,0.014503452,0.18819296,0.01823147,0.008027198,0.0038043128,0.009084888,0.014508169,0.03365139,0.03771365,0.004942654,0.016599398,0.06279481,0.037146226,0.077668525,0.051016204,0.044216618,0.013243617,0.012537968,0.022696516,0.07407467,0.09135071,0.052027605,0.13126244,0.015017169,0.03359,0.057151645,0.0115076825,0.0057149124,0.12059097,0.027560093,0.04156006
7,0.014447976,0.018096492,0.018185548,0.06293856,0.016947545,0.044301778,0.011113414,0.017030146,0.022907529,0.020116283,0.012437146,0.004410579,0.20698112,0.024329428,0.029384602,0.040102866,0.0067165894,0.029814072,0.0029772592,0.08900665,0.10277616,0.13446894,0.083283186,0.046533152,0.017102914,0.055208825,0.1326663,0.012446681,0.038244396,0.043600332,0.0023277039,0.0005890575,0.00551809,0.0067841783,0.04826389,0.02759621,0.038269747,0.052882582,0.014639021,0.017031165,0.0067439773
8,0.038938068,0.024587922,0.026768591,0.009042506,0.012516899,0.17179891,0.016837917,0.030315056,0.019824877,0.014583951,0.020289745,0.0036605606,0.0051180637,0.0017203258,0.028359078,0.072934,0.025999986,0.07836874,0.026616625,0.030603677,0.03749586,0.14027664,0.0015372201,0.005693242,0.025510384,0.0065735877,0.0054026274,0.016743619,0.007994153,0.0075686728,0.012279678,0.018701434,0.01632155,0.004632582,0.0033984233,0.0014099018,0.003813564,0.039561372,0.007120122,0.021553012,0.04276185
9,0.009288238,0.0016697757,0.029069252,0.006592562,0.13876586,0.024560146,0.012896541,0.02262668,0.05726435,0.0029526427,0.043348003,0.012144519,0.06249136,0.028893955,0.008731052,0.05237231,0.0037531662,0.007971142,0.024519516,0.032220617,0.008771373,0.005730025,0.025948428,0.028736591,0.041226476,0.01564332,0.15797034,0.045875903,0.031768143,0.045081817,0.03457758,0.0038209085,0.0051878626,0.078268014,0.020709652,0.01201837,0.0030068525,0.036022134,0.02033626,0.038676955,0.0122790905
10,0.0019161118,0.023593152,0.029518,0.05164396,0.030707955,0.020191371,0.005090261,0.04104084,0.03562589,0.0184287,0.0046635983,0.054092396,0.054685198,0.022395428,0.041053154,0.11900406,0.003384122,0.022795819,0.07299796,0.09220618,0.05451335,0.028850418,0.006049122,0.040387705,0.06454602,0.05051455,0.024617936,0.06853436,0.047509737,0.026064988,0.027983433,0.038278602,0.0065243784,0.01804576,0.007939185,0.022127721,0.031129494,0.037552975,0.009465307,0.0126363225,0.013456704
11,0.050112512,0.01938492,0.0028466403,0.030012602,0.08955664,0.092266455,0.08882192,0.023380253,0.0033928351,0.0033372655,0.023063174,0.0063297846,0.040505648,0.094576836,0.046238713,0.009578752,0.0022301928,0.008899899,0.010026301,0.018845284,0.013161078,0.015951931,0.006742879,0.0053191055,0.008906601,0.0019257138,0.028107148,0.02450971,0.016355848,0.009318587,0.03137409,0.05334868,0.06893033,0.028182056,0.060671095,0.007712457,0.056164715,0.07699096,0.0165626,0.01049562,0.0069367117
12,0.023763323,0.036724254,0.07428946,0.0089562945,0.008637602,0.022512503,0.072428636,0.028203547,0.053390164,0.024796672,0.018422976,0.0038061328,0.013505582,0.0022012854,0.00018224056,0.0015194332,0.0036320514,0.005736325,0.035366043,0.00040790034,0.013176629,0.019253727,0.030172743,0.0054243514,0.012170191,0.040115327,0.031893354,0.030260935,0.08144152,0.016715657,0.013974646,0.018784989,0.004602511,0.089937925,0.009955104,0.02244404,0.052253887,0.024605062,0.059698343,0.008861664,0.028864745
13,0.0045795944,0.0019980266,0.010738689,0.04686893,0.07384413,0.05094815,0.07166457,0.013123355,0.0046358244,0.08073968,0.01967903,0.060381845,0.031811215,0.014166888,0.022782367,0.00086009,0.015441618,0.006214357,0.011822447,0.0075855004,0.0038051351,0.0028270874,0.031630877,0.006609546,0.004189635,0.0023217697,0.008544481,0.008031223,0.005787052,0.008911457,0.0041594743,0.036065884,0.019556226,0.0184951,0.07090325,0.0047183856,0.009830475,0.013071934,0.008986026,0.01581236,0.00422066
14,0.0016176942,0.007134569,0.0019164849,0.014829359,0.00525202,0.0142600825,0.020606602,0.019684643,0.0049536424,0.0013009928,0.018545192,0.0016498525,0.001979224,0.0063154045,0.008600248,0.0013178635,0.006068887,0.0017268149,0.0068272497,0.0010892142,0.0035100288,0.0069351727,0.011306687,0.007975293,0.009389662,0.0050581973,0.008880878,0.003176925,0.009439603,0.058905303,0.012191534,0.028304206,0.022694614,0.053776518,0.12620285,0.12409212,0.10016663,0.079631776,0.030291433,0.01997311,0.041752525
15,0.0669443,0.09074158,0.06282155,0.08045973,0.026619809,0.014091802,0.042025,0.019350884,0.019262206,0.004904479,0.018991081,0.004910858,0.0035746454,0.044702984,0.09369454,0.019226547,0.0135372225,0.004722721,0.002757475,0.008577593,0.035936788,0.022640292,0.009491622,0.0023745545,0.006646205,0.017862014,0.02175932,0.010501567,0.030416705,0.0091139395,0.009369475,0.030839482,0.018297072,0.019142795,0.008138209,0.011233348,0.0030396427,0.007589319,0.033042334,0.005220717,0.0005196792
16,0.0025876,0.009292952,0.016408322,0.0055767028,0.0016821413,0.0005938419,0.0054460084,0.0020501162,0.0030796118,0.0070381416,0.00681875,0.00466468,0.005960382,0.0018892719,0.0023071188,0.009902898,0.007493998,0.011284839,0.01269063,0.021009386,0.008959837,0.0047329892,0.024020042,0.007705895,0.016429346,0.010859313,0.00052622793,0.005521058,0.0091782985,0.016171396,0.003943621,0.018042428,0.0011474893,0.0074710026,0.075929016,0.028834227,0.039337374,0.0124257635,0.0046554953,0.0062926863,0.028567415
