meeting_date,sentiment_score
1997-03-25,-0.03576357
1997-07-02,0.015930876
1997-09-30,-0.22211456
1997-11-12,-0.15668775
1998-09-29,0.31523913
1998-11-17,-0.119446784
1999-05-18,0.3415276
1999-06-30,-0.044387005
1999-08-24,-0.2119051
1999-10-05,0.1054223
1999-11-16,-0.22841641
1999-12-21,-0.08849348
2000-02-02,-0.46717918
2000-03-21,-0.56771874
2000-05-16,-0.41037402
2000-06-28,0.28843766
2000-08-22,0.7409532
2000-10-03,-0.12051746
2000-11-15,0.02820129
2000-12-19,-0.58783895
2001-01-31,-0.48614788
2001-03-20,-0.99265486
2001-05-15,-0.77640355
2001-06-27,0.0007168394
2001-08-21,-0.61667544
2001-10-02,-0.6081234
2001-11-06,-0.57823277
2001-12-11,-0.07570596
2002-01-30,-0.12427385
2002-03-19,0.07358118
2003-01-29,-0.06402753
2003-03-18,0.004536918
2003-05-06,-0.052837174
2003-06-25,-0.1417399
2003-08-12,-0.36220434
2003-09-16,-0.042427745
2003-10-28,0.14768635
2003-12-09,-0.009911225
2004-01-28,-0.06187284
2004-03-16,-0.072444834
2004-05-04,0.16901939
2004-06-30,-0.052515857
2004-08-10,-0.038792185
2004-09-21,0.07667208
2004-11-10,0.025172178
2004-12-14,0.025598608
2005-02-02,0.2667352
2005-03-22,0.68908185
2005-05-03,0.9247136
2005-06-30,0.47590405
2005-08-09,1.0011195
2005-09-20,0.5478015
2005-11-01,1.0208528
2005-12-13,0.8733202
2006-01-31,0.7617311
2006-03-28,1.082234
2006-05-10,0.40467706
2006-06-29,1.012736
2006-08-08,0.7060087
2006-09-20,0.69167256
2006-10-25,0.92291
2006-12-12,-0.026329327
2007-01-31,0.9562774
2007-03-21,0.58792466
2007-05-09,-0.029632082
2007-08-07,0.049172997
2007-09-18,0.024627918
2007-10-31,0.013089226
2007-12-11,0.04842449
2008-01-30,-0.09021772
2008-03-18,0.05139394
2008-04-30,-0.0023212535
2008-06-25,0.18547252
2008-08-05,-0.44973153
2008-09-16,-0.34998372
2008-10-29,-1.0243382
2008-12-16,-1.0366751
2009-01-28,-0.46610215
2009-03-18,-0.2908228
2009-04-29,0.19744839
2009-06-24,0.8959634
2009-08-12,-1.1356542
2009-09-23,-0.53501844
2009-11-04,-0.014378053
2009-12-16,0.12509072
2010-01-27,-0.060343854
2010-03-16,0.22157125
2010-04-28,-0.16538396
2010-06-23,-0.02949769
2010-08-10,-0.040762246
2010-09-21,-0.0675572
2010-11-03,-0.11286354
2010-12-14,-0.12844282
2011-01-26,-0.12130259
2011-03-15,0.152101
2011-04-27,0.030374797
2011-06-22,0.004442743
2011-08-09,0.07068428
2011-09-21,-0.031790916
2011-11-02,-0.024799168
2011-12-13,-0.13278982
2012-01-25,-0.09944768
2012-03-13,-0.07756358
2012-04-25,-0.105801
2012-06-20,0.0945711
2012-09-13,0.058593914
2012-10-24,0.04094421
2012-12-12,0.026579391
2013-01-30,0.01076267
2013-03-20,0.06751038
2013-05-01,0.04372921
2013-06-19,-0.017173672
2013-07-31,0.043751158
2013-09-18,0.061369114
2013-10-30,0.22153059
2013-12-18,0.052776653
2014-01-29,0.021872845
2014-03-19,0.0055045583
2014-04-30,0.03419714
2014-06-18,0.2237875
2014-07-30,0.10132366
2014-09-17,0.123812795
2014-10-29,-0.009488032
2014-12-17,-0.02863764
2015-01-28,-0.049481194
2015-03-18,-0.002668661
2015-04-29,-0.11314769
2015-06-17,0.06857387
2015-07-29,0.12977685
2015-09-17,-0.071484685
2015-10-28,0.000632171
2015-12-16,-0.13480942
2016-01-27,-0.10344297
2016-03-16,-0.17894663
2016-04-27,-0.057392456
2016-06-15,-0.0006540685
2016-07-27,-0.049715627
2016-09-21,0.047192257
2016-11-02,0.021240633
2016-12-14,-0.030824384
2017-02-01,-0.11507142
2017-03-15,0.01449131
2017-05-03,-0.10186371
2017-06-14,-0.11028506
2017-07-26,-0.10880431
2017-09-20,-0.0956384
2017-11-01,-0.11947474
2017-12-13,-0.12449615
2018-01-31,-0.05023224
2018-03-21,-0.09832097
2018-05-02,-0.08587984
2018-06-13,-0.024590561
2018-08-01,-0.045984562
2018-09-26,0.08661587
2018-11-08,0.047871284
2018-12-19,-0.085861586
2019-01-30,-0.0688914
2019-03-20,0.051772363
2019-05-01,0.031570718
2019-06-19,0.054521106
2019-07-31,-0.024558611
2019-09-18,0.019622535
2019-10-30,-0.05231243
2019-12-11,-0.031635046
2020-01-29,-0.05598536
2020-03-16,-0.0048788213
2020-04-29,-0.11888035
2020-06-10,-0.12092113
2020-07-29,-0.15641017
2020-09-16,-0.012651685
2020-11-05,-0.11668505
2020-12-16,-0.11668505
2021-01-27,-0.11821718
2021-03-17,-0.15659772
2021-04-28,0.03493574
2021-06-16,-0.053303104
2021-07-28,-0.09911867
2021-09-22,-0.14249158
2021-11-03,-0.20508568
2021-12-15,-0.27752718
2022-01-26,-0.21736288
2022-03-16,-0.13625023
2022-05-04,-0.039569717
