Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.17800868,0.5873772,1.3319669,0.58578336,0.1520352,0.14569697,0.6981548,1.0368687,0.05132409,0.66473955,0.6598142,0.17790006,0.23709744,0.38398007,0.45139313,0.73150337,0.068643115,0.3149673,0.008880626
1,0.3119563,0.14962311,0.20049138,0.16394943,0.26080889,0.26820505,0.3030732,0.27622858,0.29233012,0.63603926,0.01675385,0.2773136,0.26245445,0.107479796,0.9154432,0.3806004,0.16879237,0.7457216,0.000303216
2,0.46642756,0.09007886,0.1316481,0.4372808,0.04122348,0.3327492,0.06507849,0.18545698,0.23790169,0.2683767,0.27012974,0.029539458,0.0927386,0.36204082,0.4595598,0.2803076,0.44262823,0.12502533,0.0018630885
3,0.3358222,0.14678209,0.018409625,0.31972247,0.14479302,0.244225,0.23373918,0.21060318,0.23332441,0.10359088,0.038988143,0.11235453,0.102141425,0.1569317,0.11587143,0.41258985,0.38875055,0.08664619,0.030942135
4,0.1262469,0.028680641,0.13348725,0.05692163,0.046071753,0.07485081,0.03218466,0.26343036,0.04400488,0.06034469,0.47075504,0.14904316,0.1276365,0.16067997,0.037533656,0.5205363,0.25063166,0.19509315,0.32729504
5,0.07789252,0.2836969,0.1261556,0.13071433,0.41474992,0.12854643,0.029432787,0.08106541,0.07827267,0.025750816,0.041517954,0.07770199,0.03407704,0.030110497,0.18550852,0.0067895213,0.066949695,0.13960117,0.0010481112
6,0.013699567,0.06045307,0.14781907,0.044570636,0.049405612,0.09935157,0.03698185,0.023874417,0.06476337,0.037875023,0.022333171,0.06578802,0.07175955,0.11597565,0.35391915,0.10299377,0.06478768,0.14876024,0.00095325237
7,0.017973222,0.016074264,0.02296606,0.114655435,0.038708255,0.032353714,0.10844536,0.024773842,0.20996886,0.046714276,0.16214588,0.14428705,0.03724096,0.16514683,0.014763015,0.06795508,0.021113455,0.1575672,0.060254667
8,0.03288503,0.014883988,0.19000597,0.16072723,0.047360167,0.057566926,0.0048122793,0.037543908,0.06973493,0.0062839217,0.005691225,0.012099,0.070563324,0.0053563425,0.07202394,0.055216607,0.07764031,0.003291187,0.0010448567
9,0.1712768,0.031038996,0.07344934,0.0599072,0.008103162,0.070722565,0.050356902,0.032580078,0.098041736,0.017254617,0.024324687,0.1274071,0.05242172,0.054638036,0.10321225,0.141004,0.104341,0.023349876,0.027684309
10,0.019604042,0.034635972,0.03441654,0.054753385,0.042477403,0.029702121,0.02747998,0.120523125,0.0441828,0.04437718,0.07151409,0.12541726,0.056526296,0.101799205,0.030244168,0.076349884,0.03944011,0.016864635,0.008508609
11,0.008397272,0.05647649,0.033121005,0.03559703,0.052938707,0.017285315,0.037298493,0.032283053,0.04092715,0.023008954,0.037277292,0.11546965,0.013103738,0.005280003,0.00976348,0.01680208,0.016204128,0.013761551,0.03200392
12,0.061151113,0.10264553,0.21643013,0.042676404,0.026169116,0.025295239,0.04939529,0.27285153,0.13785158,0.13515262,0.0549639,0.016111394,0.009951328,0.017087422,0.021279618,0.010466652,0.08047851,0.0133401025,0.055203326
13,0.016068734,0.0030152611,0.021068402,0.016060546,0.0069210883,0.016291324,0.04755922,0.039242603,0.03205083,0.07362828,0.05533045,0.11982356,0.06641595,0.008791981,0.0009936772,0.0052180863,0.0067137135,0.039810915,0.010308368
14,0.037930638,0.098655574,0.11657441,0.043829132,0.017132191,0.049469627,0.108919755,0.056339722,0.015511967,0.01851887,0.050089076,0.13178654,0.06046067,0.024745375,0.03427995,0.015904654,0.018819144,0.0056480467,0.055160705
15,0.0062636742,0.021561641,0.062832415,0.056235448,0.09753502,0.072886005,0.033005264,0.039240427,0.042351548,0.071854234,0.09298538,0.009504156,0.04706542,0.16613442,0.015040653,0.060013056,0.0055545103,0.017171394,0.0016654844
16,0.015082745,0.017424062,0.015032133,0.017569056,0.007407424,0.015407988,0.033431344,0.07156037,0.02258604,0.0039921575,0.00714166,0.06370583,0.023283282,0.054658562,0.015265031,0.016731463,0.01053791,0.0061408235,0.02966101
17,0.013760056,0.0071442043,0.050323814,0.019102782,0.009892098,0.06415693,0.0947978,0.007451482,0.0084583545,0.02945955,0.05645223,0.13099572,0.03350737,0.009896994,0.018985774,0.0822609,0.026766475,0.03422685,1.3719921e-05
18,0.027168771,0.04573807,0.03932839,0.031156357,0.0023840326,0.013784328,0.02676962,0.007941479,0.011440031,0.006247782,0.006446953,0.010411401,0.067460746,0.0317909,0.017237414,0.041775446,0.036211584,0.015413298,0.0015263236
19,0.014485804,0.013378489,0.023414606,0.0046553393,0.025700074,0.01675909,0.014930981,0.035914678,0.014163429,0.016653711,0.027592128,0.004343222,0.018760901,0.0061810855,0.010123829,0.011169332,0.0050345086,0.017119803,0.00047466246
20,0.016400516,0.010992041,0.027695827,0.01540269,0.03212007,0.014896058,0.035145406,0.005561334,0.0068193804,0.010352243,0.020781279,0.012876395,0.006511343,0.020909183,0.017161766,0.025688566,0.016267132,0.016793357,0.0008781098
21,0.008614561,0.008751858,0.003919607,0.0029094836,0.001963804,0.0056888256,0.012181792,0.014963068,0.015725117,0.041405164,0.017508406,0.0147413295,0.0075835963,0.01915605,0.023400318,0.008262755,0.0047026994,0.002390855,0.044238225
22,0.013820178,0.0064700176,0.019371742,0.009951266,0.009206029,0.002401397,0.010264828,0.002824059,0.02436401,0.009317897,0.0060646413,0.015670713,0.03749934,0.00601159,0.013742309,0.008493877,0.011839805,0.011831052,0.0071843453
23,0.008652732,0.0020212126,0.006682298,0.004087428,0.0025316975,0.0024778403,0.003517956,0.002608957,0.013083408,0.0019731785,0.012552414,0.07387061,0.025016319,0.00567837,0.0037092764,0.0016314776,0.009002812,0.0061980784,0.02116696
24,0.0010335633,0.01509903,0.0036322582,0.011337968,0.014886996,0.0042668576,0.0062065963,0.0072077955,0.009265714,0.0030543911,0.017582124,0.013051822,0.0032216222,0.022706836,0.023694577,0.011255688,0.020711845,0.00403829,0.048823066
25,0.006271111,0.0076481597,0.038799644,0.0016197443,0.008061958,0.0036175856,0.009023131,0.0062303594,0.005557962,0.008597651,0.0061016614,0.0035724319,0.0026577238,0.0059413277,0.008513825,0.00894998,0.012555479,0.0038833627,0.013829527
26,0.0033284486,0.012334687,0.011243448,0.006914933,0.016694214,0.006672244,0.0042944895,0.015715154,0.0049623474,0.006083904,0.0128481295,0.009870862,0.02506281,0.0066033457,0.010919515,0.0043055816,0.013352679,0.004681808,0.005518463
27,0.0046003484,0.0011836168,0.008542158,0.025234962,0.014567388,0.020035315,0.013004033,0.0035087639,0.006554147,0.027123967,0.018114176,0.006883364,0.0057807514,0.0019848286,0.017087067,0.007897958,0.0024593985,0.002169664,0.069313176
28,0.02918319,0.018655714,0.01294798,0.0051467116,0.0053649624,0.04066332,0.03184448,0.01895583,0.010343739,0.0061282464,0.02249264,0.012347818,0.0026980967,0.016690444,0.0024884571,0.009515787,0.002401675,0.006448538,0.0061936956
29,0.0051113954,0.00835998,0.02435664,0.007829065,0.015384148,0.0038761296,0.028111145,0.027630161,0.017276393,0.027103456,0.006606896,0.004165297,0.016063526,0.03381812,0.04718367,0.014941375,0.017624095,0.0057059433,0.003738506
