Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.32006267,0.89781076,0.8944656,0.755926,0.65275526,0.46233237,0.2258433,0.4195176,0.7368998,0.51033944,0.27826792,0.87156093,0.14377794,0.8317187,0.38855112,0.06339714,0.392702,0.053830057,0.050371706,0.040231124,0.10042336,0.035813324,0.28642887,0.087106615,0.21930638,0.17515409,0.12297653,0.11564285,0.27841064,0.5360383,0.15926798,0.036559943
1,0.19481857,0.11546818,0.29993102,0.088783324,0.16632375,0.07539308,0.39827508,0.009441612,0.33295783,0.25980192,0.010941612,0.45493442,0.1357018,0.076241635,0.37850404,0.59035915,0.26224187,0.06561553,0.02535032,0.036169842,0.17889439,0.01699801,0.062979825,0.19244382,0.2702357,0.11821973,0.0729595,0.20977937,0.04715637,0.2806188,0.22857076,0.115048885
2,0.20403284,0.06730415,0.059342835,0.022764826,0.13983463,0.12825571,0.12759992,0.35770607,0.028032854,0.012064565,0.18711309,0.3448751,0.26524124,0.0046835467,0.031032622,0.06608078,0.059302185,0.016016493,0.010093459,0.051571943,0.07134444,0.30205262,0.17163938,0.09890666,0.015588128,0.16633298,0.08841934,0.011932616,0.011528179,0.00667647,0.060840484,0.6277339
3,0.14142619,0.03363137,0.00052568695,0.06268386,0.020295387,0.023588829,0.08388451,0.010851657,0.013920413,0.007960865,0.048690706,0.14757472,0.26544482,0.006756339,0.28086212,0.08197669,0.051166754,0.06843345,0.22905454,0.05609798,0.021835312,0.054933794,0.14159738,0.01529015,0.032525085,0.09548123,0.19015837,0.009187251,0.009296665,0.031328276,0.037818946,0.21919827
4,0.021901589,0.030206997,0.09406487,0.029430319,0.049701832,0.08912007,0.0059533822,0.115989044,0.016947588,0.045222968,0.0034075612,0.18465936,0.018044915,0.025377389,0.0489722,0.25776413,0.023147123,0.071046494,0.006707723,0.028218469,0.007167451,0.06317797,0.04203078,0.039061505,0.124973595,0.09020964,0.1567036,0.026436564,0.111570135,0.005041576,0.001821002,0.014504859
5,0.032023057,0.04663918,0.019042954,0.025845762,0.012330012,0.057434298,0.051736474,0.0018050179,0.040374923,0.0016766933,0.05087832,0.0031936055,0.05645575,0.044588197,0.042082373,0.09459698,0.02278512,0.029318785,0.003550178,0.030636242,0.035464205,0.05183027,0.040453114,0.1744459,0.037057396,0.042858437,0.01766077,0.035770893,0.1255842,0.06618274,0.12538701,0.2552104
6,0.021462796,0.04139065,0.031075668,0.009554737,0.003056765,0.061295867,0.12342391,0.058224138,0.00096362305,0.0150523065,0.026839118,0.030417215,0.13891307,0.00592725,0.08435264,0.039183773,0.0031189327,0.028920604,0.09285823,0.0031825975,0.21560284,0.17339523,0.0799993,0.021594044,0.028109305,0.09417115,0.045797825,0.06355581,0.045696303,0.025906263,0.060751557,0.0043869778
7,0.058370687,0.009017581,0.017861376,0.06982684,0.10982454,0.12997873,0.042524323,0.0819178,0.025390077,0.0045449995,0.0060073044,0.012898412,0.0093126185,0.0036328542,0.004872054,0.123352356,0.014675897,0.024123458,0.004268051,0.0065928823,0.0022031171,0.020773197,0.14353655,0.026490808,0.03491769,0.026661033,0.28306544,0.17056873,0.030023068,0.0021363387,0.08485873,0.067903325
8,0.049320668,0.11870898,0.060603403,0.0071270857,0.084019065,0.116296455,0.030494802,0.08900881,0.04121792,0.022299513,0.04332278,0.0414838,0.088000566,0.04488434,0.18230651,0.029670697,0.13877171,0.034053568,0.05588822,0.06018015,0.0037906356,0.006717669,0.049380034,0.14001182,0.07079712,0.036913775,0.055803057,0.0048552407,0.0056576985,0.014863531,0.01185674,0.023278534
9,0.03647955,0.02892046,0.040799208,0.010437986,0.036662873,0.088632345,0.07361016,0.07864386,0.017202746,0.0064761085,0.05687625,0.111641146,0.2093603,0.09816718,0.12791343,0.013047365,0.038904637,0.10175336,0.012576509,0.007686072,0.19709232,0.055587802,0.006800515,0.041102387,0.016609231,0.047281224,0.014932058,0.020432776,0.0047868853,0.011354812,0.09114023,0.025657922
10,0.005113232,0.0045719724,0.016850179,0.028005052,0.061220106,0.055779632,0.06816499,0.049189802,0.041937567,0.06837155,0.024821974,0.013817106,0.07529903,0.020329539,0.015876425,0.0031914015,0.03143202,0.05671679,0.034150004,0.022236492,0.002779256,0.009525878,0.07404304,0.07389571,0.04976243,0.0065978672,0.010712462,0.04636825,0.014582212,0.013061442,0.00946922,0.0007391914
11,0.004558326,0.02639526,0.021593854,0.0634971,0.03773689,0.035465006,0.20256126,0.026775213,0.04800469,0.024431366,0.010642333,0.023605682,0.09351248,0.07001749,0.06424177,0.06020494,0.033196993,0.041913338,0.09927973,0.109888054,0.08294135,0.09463966,0.01928163,0.066417925,0.036634684,0.037014976,0.08154472,0.02229746,0.0047506276,0.059543222,0.03109238,0.108976774
