Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.050595768,0.67854977,0.09586243,0.7780386,0.18172109,0.59061354,0.209028,0.090403035,0.47480083,0.06123265,0.13562946,0.0817551,0.47207373,0.30709434,0.23782167,0.011407159,0.032194484,0.14880124,0.00656603,0.03632558,0.25135925,0.023005856,0.008971004,0.17478128,0.21990173,0.10587006,0.030938521,0.12881625,0.1386025,0.22539423,0.66925657,0.11043869,0.072398394,0.32735348,0.42209625,0.039755203,0.27183455,0.030821607,0.43542895,0.3584591,0.1425541
1,0.4466583,0.07792779,0.017261174,0.014606855,0.028203709,0.08936303,0.027039926,0.13199946,0.07337658,0.15980512,0.18038875,0.29136464,0.39227623,0.03093347,0.22716312,0.13778804,0.12936413,0.08783209,0.29592863,0.24155974,0.13056165,0.19465052,0.041345924,0.16773996,0.3341439,0.084548734,0.49670067,0.013039114,0.017360285,0.3089978,0.04830979,0.10368049,0.01046119,0.029204937,0.08255711,0.013576351,0.08793608,0.21798277,0.10401055,0.05723413,0.18151826
2,0.21435201,0.04108446,0.033701293,0.081080936,0.0549151,0.06478299,0.28102335,0.028524294,0.02141329,0.015876317,0.13593444,0.10183428,0.14856447,0.0058111865,0.005174477,0.16929822,0.34292918,0.2546698,0.03972135,0.12080069,0.0050009387,0.16452366,0.003564226,0.058358207,0.009653957,0.32139117,0.2589643,0.026860196,0.17649642,0.019490406,0.07063636,0.23691003,0.03370742,0.3081201,0.13785659,0.046781447,0.046558417,0.07218758,0.05001152,0.064717695,0.050843764
3,0.08134884,0.020645741,0.006176774,0.2230128,0.21206066,0.054105915,0.078916036,0.034712736,0.0058930945,0.2603935,0.113573276,0.00185516,0.031388048,0.03115797,0.02477159,0.2970947,0.071302086,0.1403091,0.1229994,0.0067692986,0.030392166,0.2690788,0.0069904113,0.010346208,0.05319083,0.029829921,0.03455808,0.020793034,0.021461718,0.2724797,0.01653671,0.03871909,0.13287976,0.009763985,0.016318254,0.07666875,0.14481679,0.0054541933,0.091531366,0.25544816,0.055406075
4,0.110032246,0.21821001,0.22303858,0.19604498,0.1356875,0.1401384,0.12154322,0.11943027,0.1515248,0.21494713,0.01818517,0.10711021,0.07609251,0.035594136,0.06357143,0.034685,0.028316032,0.011964826,0.0052526016,0.023176417,0.004486507,0.030834682,0.038868446,0.20565107,0.163662,0.072794706,0.023866622,0.03236776,0.3079829,0.026600033,0.017719872,0.004384221,0.029782064,0.12524344,0.021685772,0.030996628,0.045084506,0.05133283,0.06928855,0.15207663,0.014511074
5,0.11960745,0.033319384,0.030830108,0.120132305,0.24571115,0.013211986,0.0045983037,0.12893188,0.01565866,0.030214084,0.027128639,0.03466205,0.099965334,0.06750007,0.04853467,0.04757003,0.08157269,0.023306191,0.023923129,0.11341308,0.093157075,0.039140966,0.02785886,0.02081792,0.026806433,0.060836222,0.026509665,0.12758753,0.20018207,0.028696291,0.032635733,0.019150177,0.020308131,0.11269111,0.014807875,0.110560656,0.05342889,0.006769747,0.03888992,0.1882077,0.094048835
6,0.04985213,0.021334186,0.2828733,0.06176209,0.029120333,0.036090415,0.13197266,0.03296851,0.016155755,0.12764461,0.07059314,0.1505809,0.08643475,0.07634652,0.12549062,0.18724728,0.52835464,0.35272932,0.06654006,0.08848664,0.010773342,0.021297118,0.09912067,0.06727351,0.23298243,0.17877075,0.08778919,0.06034568,0.037915032,0.011042636,0.08381371,0.03660598,0.023428082,0.03470544,0.005969931,0.012369196,0.14886905,0.13360117,0.021320892,0.03244003,0.06286029
7,0.063791715,0.0034639826,0.0036596102,0.0016444596,0.049311318,0.014600244,0.014261295,0.04837004,0.02617668,0.039457206,0.036813423,0.103892095,0.019637596,0.01883399,0.085957676,0.045838453,0.036065668,0.06378633,0.008635346,0.010342166,0.008080056,0.05172519,0.22298917,0.04053447,0.024535343,0.020703923,0.019469827,0.02427167,0.012811379,0.048035767,0.09037357,0.05279952,0.31747726,0.024787545,0.01822782,0.045305476,0.17098027,0.050131593,0.016393844,0.044423874,0.056791086
8,0.063590735,0.013190353,0.02273834,0.002642672,0.011349065,0.030969474,0.047132473,0.016569287,0.006255342,0.013034679,0.36709005,0.118186,0.079481915,0.061919816,0.011373783,0.034389656,0.008862015,0.024580814,0.06928048,0.013378374,0.020848135,0.16258451,0.13549346,0.040326804,0.00790244,0.12791173,0.062461212,0.101404764,0.050262842,0.04859571,0.008292289,0.038872648,0.013638351,0.04764373,0.052448306,0.019471064,0.042331308,0.017648518,0.06323932,0.040581565,0.03799403
9,0.02250756,0.027731191,0.10090063,0.06674303,0.044096634,0.001728298,0.003589032,0.065084755,0.016002085,0.02162842,0.0015294488,0.006085386,0.004109922,0.0066201,0.014924805,0.02947616,0.040179517,0.056782123,0.05054574,0.04546114,0.02303915,0.013203305,0.037803564,0.30541927,0.077823006,0.064157456,0.015129822,0.00807563,0.013081005,0.035577692,0.02457599,0.003057429,0.016404184,0.0033361178,0.0016303804,0.021093227,0.031921394,0.055565752,0.012163954,0.14408192,0.0072346204
