Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,1.9254217,0.4958328,0.6886266,1.6540573,0.6255127,0.60727215,1.6075251,0.64296293,0.8169087,0.97297037,0.8674818,1.1096066,0.9289336,0.43512425,0.3899824,0.27623945,0.22560728,1.1253002,0.32253075,0.12426688,0.1129334,0.14142567,0.029671773,0.38959256,0.6439316,0.29795524,0.06886822,0.28187513,0.3867543,0.35056275,0.18113832
1,0.12773389,0.12632902,0.31490055,0.06857754,0.3095988,0.29562095,0.35359144,0.4968657,0.16941999,0.0475354,0.11811761,0.09615986,0.4261396,0.17156227,0.30199665,0.11653042,0.12435123,0.13859358,0.30335352,0.4035126,0.20155197,0.050605703,0.2763822,0.41371694,0.04423123,0.12881957,0.096460514,0.06830913,0.067696616,0.36234778,0.11190139
2,0.04854064,0.06075099,0.073519245,0.38139176,0.04351514,0.039561287,0.044999722,0.02063018,0.27975136,0.05728879,0.036935925,0.025766,0.21141192,0.061936587,0.09293341,0.21896386,0.24239285,0.40929583,0.077396244,0.04703142,0.06934299,0.050089464,0.09109318,0.59626085,0.13780642,0.05233939,0.11418623,0.2255917,0.59506524,0.0861191,0.17064978
3,0.026933769,0.006277806,0.13726656,0.012351028,0.17307907,0.12831502,0.32263693,0.040961567,0.04344686,0.018249862,0.012707617,0.05460903,0.011621245,0.009771593,0.37640733,0.25650588,0.041680872,0.16626343,0.083090365,0.04601336,0.10471852,0.085582994,0.09148078,0.013430763,0.02274305,0.32286406,0.08881547,0.06969501,0.2832483,0.07997484,0.14671859
4,0.029947737,0.0046468806,0.18145691,0.008826007,0.034683764,0.051811196,0.01604346,0.008945923,0.21454549,0.004130665,0.11458378,0.08833078,0.06980188,0.02607495,0.009276601,0.020316629,0.0041737775,0.10482623,0.0058951173,0.03915418,0.03284225,0.06817141,0.07212102,0.032429256,0.09610461,0.010263505,0.032111064,0.22029698,0.13447484,0.01682886,0.18855362
5,0.19256672,0.07207177,0.042709097,0.19137894,0.04952491,0.009754395,0.005646672,0.021847822,0.018785417,0.04257123,0.02018572,0.03429516,0.044407554,0.039983973,0.24782906,0.018027851,0.0719642,0.066968635,0.115221344,0.04009611,0.010335174,0.0010087445,0.042316318,0.008802546,0.006530945,0.1592007,0.06524805,0.094441205,0.05853676,0.05229054,0.040955607
6,0.011139218,0.059782732,0.06924211,0.06446293,0.028465137,0.032125376,0.22038129,0.13500828,0.016694454,0.018667243,0.0110309385,0.014657529,0.029972512,0.024190923,0.0066966033,0.072915435,0.0750871,0.08452322,0.15333886,0.053796753,0.0076319193,0.008878064,0.13736388,0.054186136,0.2298003,0.032728635,0.008816606,0.03957986,0.06984039,0.026733413,0.0803241
7,0.005803575,0.014447589,0.04070164,0.010585202,0.01953724,0.024536232,0.031085636,0.038129803,0.03729374,0.029397361,0.021502284,0.005250031,0.0024874485,0.024456806,0.020857587,0.19377589,0.070775084,0.023687389,0.0075387866,0.038313802,0.028509334,0.14476335,0.031019116,0.018704247,0.013987323,0.015738653,0.012116582,0.028159648,0.107363865,0.019778978,0.058662727
8,0.009949513,0.0071589733,0.018691257,0.028639918,0.0657353,0.037256867,0.16767961,0.058840156,0.01568351,0.005591377,0.022007942,0.008873809,0.006806384,0.07081628,0.058037776,0.06551726,0.007306005,0.013028362,0.041779745,0.022926377,0.02768378,0.017813664,0.0032908358,0.061713863,0.07213834,0.09081492,0.012796111,0.008259567,0.015425414,0.020581558,0.005269159
9,0.02367881,0.017347915,0.016300503,0.11528678,0.0033335658,0.012103944,0.0112860035,0.01669402,0.0107783675,0.01681789,0.042101875,0.027001413,0.07468585,0.024129935,0.057259712,0.020941671,0.034404818,0.0019881881,0.016014941,0.036462788,0.03714001,0.019610042,0.012220962,0.026880765,0.172825,0.07774486,0.12719864,0.036913663,0.021540932,0.01876112,0.06283627
