Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.9253274,0.48972517,0.47035697,1.2375658,0.8711966,1.1307281,1.3619695,1.1323528,0.3948268,0.55615467,0.44290873,0.32696205,0.5343245,0.6246248,0.8707236,0.3380808,0.15985605,0.23444858,0.6864463,0.5235703,0.13215639,0.57185405,0.5713947,0.24027936,0.7647442,0.014452284,0.18626708,0.018501692,0.10519128,0.24232563,0.67199314,0.11457788,0.43354374,0.408607,0.08969692,0.44200632
1,0.03554793,0.13141543,0.08455705,0.19971782,0.17557827,0.03322663,0.04429906,0.21711314,0.44399744,0.10474409,0.2482802,0.30657542,0.21911192,0.09542897,0.5132907,0.5088551,0.32402956,0.11290254,0.2755336,0.033984568,0.44118577,0.09176175,0.20117801,0.3140689,0.017205209,0.1741501,0.08628072,0.068646654,0.056415908,0.036609486,0.03959691,0.13446164,0.63863707,0.23629113,0.3330905,0.0070353127
2,0.011035013,0.01129982,0.36394975,0.13775001,0.20329848,0.009751711,0.009010833,0.009467478,0.14545429,0.4970101,0.056030728,0.059412114,0.05024062,0.020196987,0.05421765,0.054033123,0.7783978,0.13796163,0.031358674,0.19633867,0.30507168,0.048259184,0.22896652,0.22309728,0.03895733,0.011163644,0.030977072,0.019686488,0.02812095,0.2161138,0.086507276,0.15508845,0.17904969,0.030605806,0.025345948,0.16013722
3,0.3620165,0.10635734,0.018885292,0.2304421,0.019630536,0.017244177,0.09644917,0.030484397,0.036754932,0.38786718,0.022084946,0.004710943,0.111897156,0.110811904,0.19192377,0.08040526,0.014661663,0.09909211,0.07463197,0.041760772,0.06526637,0.12527604,0.07022982,0.020306347,0.12800026,0.032200158,0.029537845,0.11537822,0.052004598,0.09760995,0.07633728,0.06599814,0.19172037,0.026362864,0.03599565,0.21303625
4,0.076634176,0.21713172,0.1848342,0.22130409,0.1546138,0.09026208,0.08227225,0.10768129,0.016913017,0.027406473,0.0999408,0.19577241,0.13538639,0.10181882,0.073975965,0.19532515,0.144537,0.03259092,0.028821994,0.042913612,0.10965882,0.08562283,0.068372086,0.10941707,0.019517384,0.37227657,0.15155217,0.06407891,0.22730042,0.109799296,0.09296529,0.09759847,0.013352259,0.012793599,0.08231594,0.07279358
5,0.022817483,0.018052017,0.008974992,0.025452252,0.0056770276,0.0090699615,0.15626977,0.0105906855,0.019623838,0.07136543,0.013023373,0.041619405,0.013046942,0.029568944,0.09141189,0.02442088,0.003541648,0.0039190743,0.054578014,0.114520654,0.021645635,0.028736383,0.015811916,0.07047137,0.06052193,0.09662597,0.038452357,0.025527488,0.017093409,0.009016033,0.07433568,0.0076065026,0.040390655,0.39527372,0.012265663,0.10120019
6,0.0068903426,0.031410985,0.28651473,0.027260138,0.030786965,0.05247294,0.02035167,0.031693902,0.04372224,0.035236057,0.12019721,0.050739307,0.0030350084,0.008794022,0.05144479,0.12573147,0.0063385717,0.030446207,0.017966751,0.11070562,0.0296105,0.048287276,0.00960437,0.035338104,0.0059145154,0.014868509,0.030431028,0.015483524,0.037551958,0.028277308,0.29827663,0.031443197,0.050394993,0.02385189,0.009736164,0.029034115
7,0.04686974,0.047303073,0.073428795,0.07108404,0.022146592,0.023088284,0.050278325,0.031156486,0.03327542,0.055853043,0.11154706,0.01849541,0.03455869,0.028848147,0.012847358,0.028803205,0.012118379,0.07396652,0.44862664,0.049044665,0.22919655,0.06546291,0.03366912,0.010370787,0.018686516,0.022881165,0.071180135,0.069059715,0.092572555,0.014680933,0.064746186,0.047552604,0.016356353,0.011522739,0.016604517,0.011933288
8,0.0650281,0.016976103,0.011762193,0.030484073,0.1311337,0.003843736,0.04476205,0.015877396,0.021659087,0.002927905,0.0140947085,0.013419316,0.005451545,0.00397765,0.030790526,0.029875986,0.0032482124,0.065080255,0.0113135865,0.0080921585,0.012951472,0.0034439801,0.01946924,0.027716737,0.01019674,0.031420805,0.052262265,0.076087475,0.020720748,0.028179709,0.21651338,0.035362497,0.17322057,0.0152096255,0.009061822,0.00851038
9,0.008773467,0.065332614,0.009658512,0.008950798,0.008111832,0.021716837,0.010679834,0.015039236,0.037179388,0.008257939,0.015525112,0.0016353615,0.009957531,0.054592136,0.04477354,0.0080225915,0.019953856,0.0014189249,0.032407306,0.009649765,0.017168548,0.017733619,0.019835414,0.010886495,0.0071744216,0.001409624,0.009931013,0.016866345,0.07326568,0.019231211,0.008456051,0.012959557,0.024878215,0.12369686,0.010662886,0.010032196
