Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.28617075,0.47419065,0.27749717,0.024600115,0.5818002,0.2052303,0.25985584,0.34371307,0.117673025,0.5487432,0.25300616,0.31481996,0.11364894,0.2345055,0.16305755,0.27479902,0.06026989,0.1311719,0.029760359,0.46538243,0.61936426,0.17391971,0.049872987,0.18058479,0.1155683,0.24006735,0.31314015,0.17156748
1,0.24378143,0.09031549,0.1858725,0.31191346,0.34484878,0.43839324,0.08452222,0.47530705,0.5564507,0.055238612,0.11432579,0.40415344,0.24163294,0.28536814,0.14319617,0.5791651,0.08843751,0.07583588,0.13041435,0.1372937,0.04726017,0.11413214,0.11661623,0.1489102,0.053717945,0.07707687,0.16708362,0.24676096
2,0.20514536,0.27635404,0.24190897,0.080534436,0.0730377,0.09867697,0.102284774,0.23678145,0.26960957,0.16817768,0.34016237,0.26982492,0.3595767,0.032120652,0.2948895,0.04510177,0.28251228,0.07441971,0.069480255,0.10857482,0.2588814,0.030596703,0.26584864,0.26929113,0.24347815,0.050607577,0.1310652,0.13794912
3,0.088243514,0.14596924,0.14442632,0.21353798,0.050959133,0.40285325,0.32229072,0.11394937,0.21762812,0.31050456,0.0877728,0.107464336,0.22400595,0.15531288,0.18674505,0.059703544,0.113739,0.2318336,0.103423715,0.21177366,0.17201279,0.3101554,0.09772835,0.062211886,0.040515877,0.07272653,0.020632625,0.17100807
4,0.024974974,0.18044041,0.20582627,0.05111611,0.08450835,0.101425536,0.054455616,0.48680526,0.17307577,0.10017586,0.27935314,0.4010205,0.31601378,0.11714086,0.06615691,0.02698205,0.027349629,0.1304906,0.16002525,0.30752695,0.10783292,0.2272629,0.06979915,0.0016360995,0.088142976,0.18990356,0.13434075,0.12177635
5,0.21740086,0.26733398,0.1346285,0.024714412,0.042510796,0.0028029443,0.044136584,0.013143072,0.19645502,0.20072421,0.18860945,0.10740246,0.06958787,0.3915227,0.2174689,0.33282882,0.31163847,0.25638235,0.12282088,0.14639437,0.08777079,0.042796046,0.16515915,0.16709907,0.2937704,0.3087417,0.29389417,0.15851413
6,0.20775546,0.07520112,0.11234401,0.070600495,0.10884287,0.08296972,0.15076053,0.06439153,0.09088221,0.012129343,0.041658144,0.16376506,0.12915936,0.15364163,0.07212477,0.06622988,0.2110325,0.14202762,0.124089636,0.1059552,0.10446583,0.0067254845,0.07602517,0.05118637,0.120303094,0.031405687,0.12568508,0.13140902
7,0.018047925,0.048254117,0.03681873,0.008327497,0.026260322,0.02698838,0.078308344,0.05244126,0.045948207,0.014362066,0.013557892,0.011124468,0.15779948,0.031898733,0.041785114,0.02924716,0.021843623,0.07173151,0.016284235,0.023321692,0.10562153,0.028981034,0.3401878,0.03149972,0.20795563,0.09918006,0.07604298,0.016610334
8,0.018292502,0.021061204,0.053149357,0.1054124,0.025653021,0.015382381,0.08999638,0.12571576,0.16596605,0.15876314,0.011028049,0.021389969,0.2605699,0.14211147,0.06859493,0.09991224,0.14449379,0.062055267,0.06392505,0.065169916,0.04994799,0.016399145,0.07889937,0.107691266,0.06796359,0.009158944,0.04628627,0.04760311
9,0.045718126,0.028271487,0.012193462,0.0045074243,0.033568274,0.025123913,0.008714804,0.0107062915,0.030924488,0.0136248665,0.028052889,0.027935412,0.031571217,0.024040185,0.049382906,0.0033471151,0.07221959,0.01984645,0.37363887,0.14703876,0.20783663,0.120015375,0.07250757,0.092865326,0.040557865,0.050548397,0.031296533,0.029489351
10,0.04186116,0.018961536,0.054946244,0.084698856,0.15741298,0.029392399,0.20441806,0.1137835,0.02257415,0.049655646,0.06149973,0.09903537,0.03534048,0.015282301,0.03033683,0.037812572,0.009254107,0.10729716,0.03350385,0.05895365,0.09664743,0.019236136,0.16996932,0.0034590755,0.0099796215,0.016826432,0.035388593,0.03141955
