Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.1208754,0.78222257,0.60328907,0.38159367,0.39340192,0.20128761,0.5629634,0.07500242,0.6156542,0.60071135,0.17233402,0.02928992,0.48680374,0.2484687,0.08271662,0.54576844,0.016945817,0.6162554,0.28785717,0.45557284,0.18987682,0.15709682,0.15301678,0.26360157,0.2526211,0.12587576,0.029287051,0.30426872,0.30973506,0.28279063,0.3365631,0.3869975,0.46281028,0.6626574,0.5163473,0.24050751,0.36901376,0.7063932
1,0.23868586,0.22531489,0.009832813,0.29643938,0.53902835,0.4545604,0.19036385,0.25312766,0.17638877,0.11885437,0.15044798,0.26279068,0.06655042,0.16293842,0.122015245,0.11562185,0.07835447,0.27869463,0.35602617,0.3275535,0.26712698,0.08364992,0.048282187,0.27141595,0.25705492,0.053468063,0.31629768,0.016237373,0.49978578,0.2911422,0.17628412,0.14391476,0.39660087,0.26283333,0.034931727,0.42096713,0.53598946,0.11894866
2,0.44680882,0.2404676,0.11778611,0.2194943,0.29940742,0.08829292,0.43563232,0.3311964,0.18181896,0.07543504,0.29267925,0.17221713,0.074343145,0.37195054,0.2786031,0.2693049,0.08390787,0.10259126,0.12892006,0.026202543,0.2384504,0.3359223,0.0838171,0.09504448,0.14105833,0.036702707,0.34355587,0.29061112,0.22767264,0.03890933,0.29528677,0.32046145,0.3729684,0.25050873,0.3260467,0.15001017,0.050029054,0.01818891
3,0.27609923,0.050775506,0.19905236,0.104102954,0.23488832,0.26594427,0.005637072,0.15752718,0.0010350232,0.2985059,0.067038566,0.10057352,0.16172314,0.5187412,0.0114111565,0.15736109,0.14084817,0.22221492,0.20545833,0.4019414,0.23180729,0.4047401,0.20076382,0.15593955,0.17747422,0.34390473,0.067173116,0.2937478,0.3982779,0.10939928,0.20076415,0.4645628,0.20987776,0.10192393,0.19844963,0.307313,0.053660873,0.2880199
4,0.05872026,0.29761082,0.2632026,0.04147476,0.19718035,0.089988954,0.12657107,0.039441664,0.20800267,0.12813565,0.32874805,0.1451043,0.035311967,0.047341097,0.07580187,0.025306802,0.05736782,0.3507005,0.1788833,0.11616945,0.3486374,0.038915135,0.046775855,0.022542328,0.0041706273,0.07017806,0.3757344,0.20006447,0.07513793,0.47145584,0.19191787,0.04190685,0.03926604,0.32071012,0.041165516,0.407241,0.0042764735,0.027152902
5,0.021883413,0.27377674,0.0864297,0.055263802,0.33236215,0.14570917,0.044583347,0.05610481,0.08152288,0.2204743,0.13947283,0.003819291,0.28050858,0.153581,0.16181439,0.13292462,0.15610072,0.071246415,0.07964288,0.02182686,0.15861228,0.1445561,0.2568735,0.101144135,0.6425883,0.15182868,0.0822257,0.113874525,0.061228838,0.27264693,0.19176395,0.1166013,0.05246046,0.021949895,0.068149224,0.042090338,0.121632494,0.22902584
6,0.14606303,0.06722931,0.08454388,0.0115921525,0.0155239105,0.11176139,0.26201725,0.05030682,0.0115330685,0.19419578,0.033298064,0.02814602,0.07478751,0.061859503,0.024697376,0.020376863,0.12900619,0.14048041,0.13455507,0.016899046,0.07085678,0.11822397,0.12690641,0.01843252,0.12484003,0.07924822,0.0050373897,0.17571159,0.12997158,0.13244595,0.09042697,0.19241296,0.26330215,0.09636834,0.018020563,0.24825163,0.082371674,0.113371424
7,0.16316946,0.078604706,0.017755002,0.059931286,0.112222865,0.09274927,0.060618855,0.14402492,0.11330491,0.08508724,0.13149966,0.069217324,0.09932853,0.031950124,0.052559655,0.07929316,0.13452014,0.03688307,0.00898706,0.034397736,0.019953905,0.09582399,0.1328587,0.12309571,0.07074614,0.12400023,0.046369247,0.017893905,0.05208476,0.016349586,0.019198544,0.013326347,0.05445234,0.013918683,0.009775196,0.038319908,0.045391425,0.053301856
8,0.02107433,0.055931985,0.124888815,0.0038016555,0.10782382,0.067201264,0.021628123,0.008547338,0.022286206,0.014124734,0.19833012,0.023326406,0.03612106,0.01565581,0.03597276,0.14932469,0.11932878,0.10050052,0.054228455,0.035285667,0.056330718,0.019097608,0.011337033,0.004305116,0.031862885,0.15078044,0.060193382,0.03275691,0.01943785,0.041148536,0.0072955377,0.045452353,0.040475875,0.07599802,0.025153004,0.13971041,0.20120533,0.025421249
9,0.0576706,0.1230055,0.101693556,0.16782288,0.10078312,0.0403254,0.062008042,0.04940886,0.07660426,0.07001299,0.010100226,0.004957772,0.014297683,0.09293081,0.013040971,0.10674977,0.043617964,0.017635671,0.014648279,0.023823306,0.038021095,0.0512259,0.06464585,0.015127149,0.03082166,0.05337147,0.17223722,0.15908986,0.12747705,0.06391208,0.020376598,0.019671984,0.05739083,0.101336166,0.0972943,0.06522692,0.11264748,0.18230891
10,0.31485796,0.15211764,0.06339618,0.0676503,0.013960031,0.05551737,0.16965485,0.14857437,0.15665482,0.12642771,0.033680957,0.07296433,0.08282395,0.119630516,0.08720976,0.038459845,0.104946405,0.02965617,0.013089912,0.051541377,0.017251015,0.21902935,0.027982667,0.06950767,0.055423964,0.016960409,0.04359802,0.21179694,0.051539518,0.16230072,0.029130649,0.04052742,0.14192688,0.13620688,0.009304697,0.006560947,0.02053877,0.018114762
11,0.1466132,0.04377774,0.035549473,0.11296947,0.021448635,0.11269233,0.10536932,0.042653047,0.007253569,0.028082494,0.08503123,0.019473989,0.08815731,0.0882622,0.00949089,0.062839486,0.040006172,0.030775648,0.1508829,0.009183286,0.16604862,0.06972954,0.51242244,0.12301503,0.21412235,0.045264002,0.04191263,0.057146274,0.22125661,0.08852224,0.16897836,0.01203192,0.061783534,0.017448897,0.04789623,0.012712682,0.02979452,0.1523198
12,0.082543604,0.007109797,0.11602112,0.066554636,0.02611827,0.06007251,0.02582337,0.18817954,0.05037359,0.042285457,0.055419262,0.042464785,0.059277005,0.026176704,0.017678224,0.03584199,0.028780727,0.046354465,0.0019437687,0.061919875,0.016933262,0.020722752,0.018952433,0.02375006,0.024342047,0.055430673,0.04176893,0.026572235,0.072691455,0.12761298,0.12532847,0.04786364,0.032007765,0.042677887,0.014142528,0.05061317,0.11028529,0.0146049475
13,0.024880635,0.0583701,0.03246522,0.028464537,0.027281977,0.017354589,0.011152358,0.0028779344,0.017012892,0.023057498,0.027309664,0.0029827408,0.019582232,0.051417366,0.110553876,0.05179347,0.024387935,0.034803372,0.014780216,0.020124208,0.015517273,0.022096455,0.10844911,0.034910824,0.08148072,0.04904195,0.017079985,0.08664945,0.024181644,0.050850112,0.08006331,0.039845914,0.08743045,0.007949858,0.02718249,0.033016115,0.14448698,0.054238692
