Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,2.1643524,0.59609073,0.63516736,1.7682855,1.4073977,1.5513186,1.46789,0.6646279,0.4422272,1.7700082,0.54759425,0.88146996,2.422506,1.4424834,1.3638794,1.3417845,0.45413896,1.0299495,0.31776386,0.66640306,0.7899317,1.0139307,0.58702815,0.70076,0.57445526,0.36378497,0.08246437,0.11681382,0.30216482,0.30526787,0.24356617,0.2102216,0.44108814,0.71476644,0.1465451,0.50620127,0.14988926,0.07363649,0.18129604,0.2597843,0.06931943,0.1907517,0.58288777
1,0.087993346,0.5462322,0.21440145,0.25840425,0.099888705,0.19207364,0.039455343,0.09025685,0.33418393,0.32214698,0.28033108,0.60850036,0.3774422,0.1584503,0.09954042,0.041024588,0.02575454,0.12255672,0.22444639,0.3616901,0.12835181,0.21531767,0.17266633,0.17976657,0.15130426,0.44837332,0.18034278,0.2353355,0.022124771,0.34403983,0.38533002,0.09407641,0.29990494,0.20803297,0.03262927,0.1352817,0.3083427,0.18952695,0.51282513,0.35635728,0.13299283,0.09777959,0.2696945
2,0.26366144,0.17155243,0.50189644,0.33399537,0.08783911,0.30577174,0.22248977,0.14010362,0.18117708,0.10181069,0.16104373,0.07992328,0.266477,0.11774443,0.009308964,0.3489492,0.08189653,0.02216538,0.19575636,0.16060038,0.011058266,0.49077532,0.22509716,0.40554,0.18793686,0.08857127,0.2809929,0.0890239,0.23304746,0.43029818,0.0989438,0.2687922,0.01617934,0.11554439,0.41980982,0.17274787,0.30841428,0.033833705,0.26369923,0.1909493,0.127041,0.031693254,0.0040593916
3,0.2098577,0.011276674,0.52157736,0.34152752,0.11067138,0.040217858,0.04368535,0.082539216,0.114609994,0.03752063,0.27939636,0.20981482,0.16456233,0.08172739,0.10753741,0.17820206,0.12015103,0.17730224,0.19843592,0.27233604,0.22576122,0.2259847,0.25647324,0.27504218,0.2931478,0.019517057,0.1182258,0.19759637,0.38596234,0.29525486,0.07036401,0.031299923,0.1271311,0.39751732,0.024671033,0.10289583,0.047711864,0.17126656,0.024587948,0.11851387,0.13060041,0.015253561,0.24591379
4,0.071941786,0.180243,0.22527152,0.060895097,0.49929678,0.032588523,0.11751847,0.28260663,0.1894505,0.11168717,0.043389626,0.07865117,0.06511706,0.046066202,0.36691236,0.29078007,0.13184404,0.147094,0.18684012,0.34595922,0.07063347,0.18746506,0.14098173,0.18328719,0.4382264,0.09625039,0.043182515,0.04138507,0.08183606,0.3226964,0.021004537,0.06627668,0.046855863,0.125022,0.0830435,0.022748932,0.07194488,0.029297374,0.07961369,0.0113395145,0.04032043,0.22243261,0.038783394
5,0.04492852,0.06274884,0.007258812,0.030955952,0.1360228,0.17169783,0.055284478,0.12415756,0.034808062,0.017618328,0.016373076,0.025919013,0.108136125,0.085109934,0.016848467,0.021476634,0.17177561,0.10446513,0.08119669,0.30645192,0.057650175,0.08191335,0.0056848535,0.050413325,0.12358926,0.018975483,0.024029993,0.03392045,0.57317615,0.030189503,0.026417485,0.049413826,0.023411319,0.060721397,0.04852263,0.006055012,0.058337152,0.01687972,0.09958358,0.28726783,0.07677468,0.066369124,0.13581772
6,0.08215455,0.05992347,0.016417127,0.008467644,0.027415618,0.017599424,0.07801623,0.061110184,0.015790887,0.10388148,0.2184659,0.34259278,0.09834771,0.019379087,0.13515809,0.06218649,0.27194026,0.063867584,0.025974605,0.01946362,0.005648467,0.017536886,0.15332706,0.14731814,0.009501681,0.032035604,0.13096306,0.014530505,0.030253315,0.029253418,0.11827052,0.010468343,0.03226193,0.01407044,0.025621902,0.018240564,0.019351063,0.043736413,0.008585941,0.019442871,0.019495415,0.008813364,0.03973879
7,0.019474654,0.01719085,0.08453446,0.057318274,0.05533001,0.011236909,0.054573096,0.018361714,0.0055324174,0.075375676,0.062858924,0.03209587,0.008851344,0.13386184,0.07332676,0.08767459,0.038799003,0.0030798342,0.03130229,0.17419389,0.088101044,0.056215882,0.05281242,0.07258649,0.046684116,0.1055523,0.051060982,0.00640618,0.019719873,0.018141743,0.026351243,0.07531418,0.03290088,0.021503849,0.022917517,0.00941716,0.15679571,0.061803013,0.045209527,0.0877694,0.06355553,0.048879653,0.024995012
8,0.039536256,0.024265006,0.04457704,0.04150532,0.011249891,0.008277141,0.01608515,0.00059372047,0.07148634,0.026181083,0.0365297,0.16639048,0.09124087,0.09308962,0.0066052037,0.050893597,0.06121348,0.050130576,0.026422556,0.04831076,0.090996146,0.09290485,0.037952047,0.08830541,0.019514875,0.06098511,0.08154777,0.1559824,0.045144923,0.025693428,0.040460624,0.068176284,0.22882274,0.012139772,0.009898017,0.1155528,0.07488907,0.0372551,0.005879662,0.01086741,0.15111876,0.06254273,0.015325087
9,0.061368577,0.015225959,0.03793127,0.025454585,0.04859545,0.19393048,0.08012666,0.06964628,0.029118918,0.10302543,0.0037898615,0.0076272506,0.095446676,0.10030383,0.11959079,0.021044739,0.008801055,0.030733885,0.079535484,0.112945445,0.08871119,0.004398029,0.0076973382,0.04367621,0.06085574,0.0052235783,0.031162053,0.08974777,0.05168629,0.04626629,0.0024761688,0.036221933,0.054194752,0.031666044,0.0701613,0.012759138,0.048230514,0.07536779,0.0817557,0.09648097,0.1328508,0.0317573,0.04115809
