Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0.15050001,0.14108749,0.028658323,0.21683075,0.2448647,0.55715793,0.352805,0.057012267,0.044910017,0.7666508,0.11681084,0.13377908,0.228475,0.5501884,0.034946434,0.1273456,0.3493933,0.053581808,0.061513536,0.63915837,0.3109861,0.24792007,0.17787865,0.19210392,0.06649598,0.30389342,0.25269896,0.23303175,0.33794445,0.35904333,0.18390974,0.21816854,0.08976108,0.074134685,0.12391648,0.14956598,0.1423816,0.069590814,0.07816979,0.78324884,0.26480386,0.080289796,0.27565113,0.1304994,0.219566,0.67849916,0.376425,0.26440018,0.23915815,0.15665719,0.38435102,0.5615408,0.10867911
1,0.17062321,0.4957106,0.18132983,0.16109292,0.22947194,0.13459943,0.24914229,0.030675504,0.17940736,0.04143431,0.10138738,0.21461569,0.18841109,0.23119693,0.19737059,0.20993602,0.0083402805,0.16558568,0.38799948,0.13403805,0.2351061,0.43609837,0.18870972,0.070363596,0.14335531,0.23781124,0.1995789,0.1468576,0.7581928,0.04227235,0.04031747,0.0468804,0.38018262,0.034173828,0.2678558,0.30682814,0.3481701,0.43908507,0.23788393,0.018940633,0.13929811,0.11478765,0.2365539,0.18006541,0.34228942,0.17567882,0.23187917,0.56855655,0.036694877,0.23108408,0.42639166,0.24119683,0.42456535
2,0.3227457,0.036336374,0.1169892,0.17940852,0.4055192,0.007775233,0.53763294,0.23006135,0.23249836,0.15090337,0.257346,0.008262421,0.038010895,0.059926737,0.1191053,0.09337052,0.29705083,0.03222914,0.27285463,0.19945234,0.37567708,0.16032946,0.02773636,0.096231624,0.030807957,0.010118539,0.10290774,0.46414846,0.05137899,0.14900577,0.1568146,0.08006568,0.18452395,0.09423595,0.5206637,0.15950534,0.14018087,0.26375827,0.17924891,0.3668039,0.14280629,0.16778569,0.29974276,0.4065668,0.14337364,0.099478826,0.23339194,0.16145936,0.036881518,0.07562328,0.15280713,0.15389639,0.014620577
3,0.02411842,0.14797586,0.24964663,0.35265127,0.33767357,0.14812644,0.1401951,0.20422822,0.03903643,0.043839768,0.31011537,0.31352544,0.2403352,0.062332217,0.25032014,0.024059154,0.023724131,0.017153593,0.034947388,0.13392468,0.034765556,0.022962429,0.17463067,0.32383958,0.011695035,0.13009793,0.20367004,0.13093705,0.31653768,0.23367065,0.33195555,0.19308856,0.043273147,0.23950355,0.0009931865,0.06899189,0.15584397,0.44482958,0.18693706,0.07698196,0.0994032,0.049389616,0.14499107,0.1022277,0.11900931,0.13755697,0.14974016,0.028688254,0.59207237,0.34201074,0.23594588,0.09380938,0.05609456
4,0.14636934,0.22005685,0.1514456,0.44968897,0.059876487,0.15701076,0.19387579,0.12770495,0.12756792,0.024141606,0.08144998,0.01829895,0.07388244,0.008864647,0.12585175,0.17237556,0.1534715,0.019933566,0.13894895,0.15282206,0.16576953,0.008751533,0.27121457,0.08371079,0.20923336,0.115973234,0.007010257,0.029770598,0.14475152,0.09451333,0.10343738,0.16496317,0.14797416,0.044905085,0.061043277,0.17451261,0.070954196,0.053195234,0.15431914,0.09555717,0.006742151,0.011858431,0.38440365,0.07817704,0.09997153,0.14247543,0.38550842,0.104939684,0.041328296,0.1395731,0.07825829,0.018502377,0.050779164
5,0.05869024,0.038801454,0.08126111,0.15815172,0.03184016,0.008339898,0.088895485,0.01258871,0.016082674,0.007863294,0.06524809,0.048065376,0.045992058,0.06461808,0.20861873,0.046630748,0.11061835,0.3525823,0.010064641,0.024288334,0.06753567,0.019867225,0.054733954,0.026097499,0.036419228,0.07395913,0.07135701,0.03172128,0.006685951,0.002574013,0.09970396,0.039742544,0.016683916,0.066748396,0.15374549,0.010747946,0.14415619,0.04388237,0.054122876,0.081263565,0.15338649,0.07283323,0.025433494,0.09600928,0.021186223,0.2566451,0.2245782,0.12442482,0.194762,0.10021874,0.057680927,0.110174224,0.060057208
6,0.041808594,0.026961856,0.03480348,0.006637045,0.023908503,0.032093585,0.04292294,0.023260228,0.024617929,0.05927202,0.056365233,0.01150761,0.00081550615,0.032738246,0.099432915,0.066249415,0.120581865,0.045636185,0.0044234004,0.013856269,0.018503819,0.06880066,0.012730809,0.008545266,0.051591787,0.041810393,0.050371654,0.079818085,0.03385902,0.054970592,0.017048642,0.1563116,0.020170946,0.13694003,0.011596847,0.2704044,0.03889153,0.08564812,0.06118784,0.031534348,0.025664505,0.076023296,0.1280629,0.13984385,0.16898099,0.09706039,0.007728873,0.07914384,0.038220134,0.07831417,0.061808698,0.02736831,0.014406651
7,0.08662379,0.014737407,0.011914882,0.12538205,0.10379818,0.21999416,0.15500039,0.07685184,0.029992271,0.062170982,0.026160322,0.054437183,0.020279866,0.031982835,0.034163043,0.29363406,0.20905553,0.18968305,0.06025313,0.030802181,0.06421314,0.18590084,0.11442029,0.010646198,0.06428779,0.060880635,0.062727,0.021332242,0.09450708,0.032916248,0.028941674,0.1177712,0.08450915,0.11530694,0.040406007,0.05069734,0.0780397,0.10092634,0.18306382,0.04168959,0.076808274,0.037432108,0.053557053,0.020560281,0.021008125,0.025120523,0.04215181,0.04171174,0.05346848,0.020095855,0.03290305,0.11495514,0.015146921
8,0.013500877,0.047896713,0.066672,0.019040521,0.011738645,0.08751212,0.076523304,0.0083879065,0.035610855,0.05745519,0.008805687,0.019960675,0.21570534,0.05846454,0.018131454,0.050951943,0.042958874,0.113352984,0.033497687,0.013192927,0.031349823,0.031522233,0.03886476,0.053014584,0.02450279,0.06939121,0.0799682,0.06721925,0.0770774,0.048536927,0.073357254,0.03441333,0.0898105,0.05523955,0.06789674,0.0016559326,0.1525848,0.015644105,0.014176785,0.03787449,0.04312183,0.03685247,0.053294525,0.022616575,0.029594831,0.0055993684,0.013367882,0.06810656,0.13431339,0.09452301,0.23103298,0.020010203,0.056044113
9,0.03682643,0.06033095,0.13225028,0.081770286,0.040570326,0.071634576,0.06851581,0.11605173,0.10849102,0.025045898,0.015251451,0.045848228,0.013650125,0.019175239,0.029144533,0.021724235,0.03442826,0.029541567,0.022956436,0.04897613,0.017773591,0.037559815,0.011975651,0.028614836,0.03549259,0.014210052,0.07965942,0.028282277,0.083498836,0.040949956,0.0106695555,0.034719903,0.035691343,0.049258478,0.026057819,0.14443012,0.0515249,0.0043498166,0.0064745788,0.027979787,0.024736475,0.009467909,0.04047323,0.14885826,0.07840115,0.1513101,0.12682928,0.18161047,0.028316315,0.0077362973,0.100014575,0.18432942,0.21552806
