Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,2.74957,1.4270215,1.3165555,3.1268213,1.8704798,1.4039806,2.5924861,2.765017,2.1199813,2.2473667,1.6216391,1.2965761,2.4869528,1.9138587,1.0786681,1.6326518,2.2770326,1.7557454,1.5675799,1.7606194,2.7738862,1.3142977,0.7395613,0.76105034,1.2756203,1.1519045,1.6341668,0.9697626,1.3637818,1.4824882,1.1609032,0.6143515,0.66685164,0.58506876,0.6934167,0.655988,1.0695434,0.13415283,0.28684646,0.30668047,0.11577223,0.0688181,0.405441,0.15447275,0.24819072,0.1686784,0.119064756,0.078974605,0.04172544,0.5775242,0.5761955,0.4731523,0.03365707,0.74898356,0.2602964,0.04383767,0.44965836,0.03501936
1,0.3368256,0.2637306,0.10343046,0.12756918,0.38386303,0.21584009,0.368657,0.17015733,0.42266884,0.73458606,0.5270954,0.4246816,0.34499675,0.115154006,0.18662989,0.16598853,0.22599521,0.075377464,0.08626366,0.026654318,0.06266943,0.13336836,0.24042118,0.41171658,0.15846953,0.014672359,0.18307236,0.017981812,0.058432624,0.13653599,0.31047222,0.022593968,0.16796198,0.11697239,0.5033419,0.05209662,0.57090664,0.14603812,0.07700534,0.34639424,0.22353351,0.07241915,0.16265944,0.073764294,0.3553946,0.10213798,0.45583135,0.029515889,0.277657,0.19038048,0.3432653,0.074314885,0.13256063,0.27837422,0.046640597,0.16892293,0.3848105,0.051998783
2,0.077728294,0.09576791,0.16006193,0.15404367,0.14567947,0.56583637,0.2920827,0.29283214,0.26775,0.18307456,0.315834,0.27991217,0.31585297,0.13943887,0.3650452,0.26677036,0.19847551,0.15998963,0.13751765,0.07303317,0.15999897,0.19690162,0.1372372,0.25898278,0.34114915,0.26820356,0.12598059,0.42064172,0.15521836,0.14336728,0.08575991,0.46988797,0.3206634,0.1312917,0.057178438,0.13566913,0.099106066,0.080943696,0.056730222,0.06161675,0.46468744,0.29665038,0.08506034,0.09041588,0.11866656,0.1358458,0.34368247,0.025949454,0.075016655,0.21908772,0.24667034,0.20048551,0.2879117,0.040818572,0.08972417,0.30357546,0.0128336195,0.1365394
3,0.28728762,0.10861322,0.17458634,0.15565363,0.071710885,0.17328475,0.018036809,0.122198924,0.14826177,0.16302541,0.20522845,0.016811583,0.22182974,0.058827166,0.14455943,0.17101991,0.03615731,0.31239924,0.09927818,0.36202258,0.198475,0.11122696,0.08172945,0.15792678,0.09847658,0.40437827,0.18016206,0.14995351,0.40058416,0.39362976,0.2758156,0.16450055,0.073535234,0.05049536,0.08636339,0.28331453,0.060739785,0.12197426,0.016084936,0.25688913,0.07852228,0.21137376,0.45313603,0.13111335,0.448208,0.015619882,0.0047472897,0.22928226,0.22233346,0.12178912,0.5401628,0.12417963,0.1714282,0.14323007,0.059677586,0.0046828846,0.12065543,0.18473719
4,0.24662995,0.17122586,0.04759036,0.039837632,0.13792716,0.07049206,0.21351683,0.025816998,0.16580099,0.06895377,0.14167702,0.15764338,0.012329874,0.14645848,0.03614421,0.0751212,0.3033592,0.037092924,0.10559223,0.0471166,0.07205579,0.0429819,0.19046307,0.08117272,0.44847178,0.11064859,0.09054575,0.31891006,0.034634095,0.14694083,0.20898736,0.051648214,0.03305436,0.18268274,0.5963078,0.18679556,0.30714947,0.07755981,0.3831822,0.33524778,0.25332153,0.22390695,0.114365235,0.21061975,0.06744501,0.15666136,0.20290479,0.08289234,0.034474857,0.035715334,0.16738304,0.1098654,0.06619455,0.2648516,0.21061864,0.14044516,0.16422352,0.09682865
5,0.053671997,0.03507821,0.042355824,0.009695483,0.0060565453,0.18236768,0.099813506,0.14132953,0.05741295,0.118098676,0.075852744,0.11179964,0.1873413,0.18942241,0.16580077,0.09003644,0.24965581,0.22482292,0.17178392,0.025426764,0.01081922,0.024778362,0.080567524,0.043791067,0.15968384,0.10998498,0.19520332,0.053517863,0.07778615,0.023971338,0.016777879,0.078731075,0.14980063,0.18161093,0.02686066,0.15113232,0.055455565,0.054326594,0.032807954,0.03801298,0.029050052,0.08538828,0.04273672,0.14040627,0.011283506,0.09103049,0.08727103,0.09627353,0.018965703,0.1055687,0.032915376,0.08292398,0.08014483,0.03338712,0.3359373,0.21145236,0.08872672,0.0018693532
6,0.03724488,0.016111318,0.0597236,0.02625846,0.20481434,0.03490095,0.048696037,0.002865107,0.031570993,0.08971459,0.099550605,0.11742681,0.030525215,0.17063272,0.024984082,0.20975696,0.014071691,0.1330351,0.040715788,0.010918267,0.05360564,0.0139090475,0.0035122496,0.0238418,0.053002972,0.02941822,0.03274318,0.014200661,0.027747456,0.05911526,0.016926575,0.044141486,0.07540524,0.009932373,0.05661533,0.064742,0.08365007,0.05838096,0.12563987,0.027758367,0.086393,0.07826886,0.096586876,0.024270726,0.020012043,0.030391682,0.02720284,0.013585261,0.012246918,0.084438264,0.049295582,0.0057693347,0.09233191,0.23934314,0.013416755,0.007049739,0.07546731,0.08201894
7,0.049701355,0.28672755,0.020445582,0.07945384,0.017187065,0.04494545,0.00800099,0.07862228,0.19192398,0.0114618,0.020147637,0.023968697,0.009508452,0.029235143,0.07674102,0.023298174,0.09267987,0.074346304,0.006431542,0.029182967,0.015985016,0.080731325,0.020507704,0.0013804091,0.11370532,0.024525698,0.07018619,0.011261177,0.017102197,0.10367845,0.07395276,0.023296032,0.007868092,0.0062982966,0.030401427,0.024215395,0.049091417,0.026594492,0.09319044,0.074324794,0.040009897,0.064775944,0.10399017,0.033306725,0.021817094,0.03666236,0.023364024,0.027736204,0.051697277,0.14811638,0.06613528,0.041327745,0.070454836,0.108809404,0.022848058,0.047459275,0.02846736,0.021231486
8,0.012823988,0.025594687,0.02041478,0.18669425,0.0033928466,0.02206616,0.054223984,0.051177487,0.028043648,0.026452977,0.009462945,0.035477787,0.02875406,0.022664906,0.08200844,0.038378887,0.009189898,0.015008706,0.11442907,0.021759797,0.04743406,0.026034791,0.04105727,0.025936326,0.051704668,0.039083198,0.0028008386,0.016537748,0.14420033,0.11818371,0.014071512,0.01891348,0.13168344,0.059290126,0.02335729,0.050373442,0.016761014,0.04484236,0.034017462,0.09234372,0.016660664,0.038759265,0.0135151,0.03086918,0.0031625165,0.0034511064,0.0621667,0.026567603,0.029420715,0.031827394,0.076366805,0.017676376,0.03946584,0.05097857,0.01899369,0.0238248,0.012054354,0.0042899996
9,0.007235298,0.06270968,0.08277674,0.08132463,0.14280471,0.048168655,0.031516593,0.007412132,0.022211554,0.022116058,0.021519424,0.041603226,0.057795018,0.054775134,0.06532575,0.023851324,0.026896136,0.046593174,0.12758304,0.050833806,0.009323573,0.039658107,0.041757427,0.023916485,0.0317504,0.011960303,0.030685872,0.02406612,0.012602158,0.031854037,0.029287845,0.0048039826,0.013981611,0.059682794,0.114501044,0.060922444,0.052644826,0.018268544,0.059687708,0.015032817,0.012122591,0.17929724,0.13419788,0.025735622,0.020163776,0.01912132,0.011939624,0.0065969364,0.08629888,0.12048057,0.122037806,0.15501526,0.05398006,0.038213592,0.042548258,0.032257956,0.07618219,0.075048506
