meeting_date,sentiment_score,version_timestamp
2007-01-31,0.1259786039590835,2006-12-12
2007-03-21,0.4989619255065918,2006-12-12
2007-05-09,0.261907160282135,2006-12-12
2007-06-28,0.3570102155208587,2006-12-12
2007-08-07,0.2303539961576461,2006-12-12
2007-09-18,0.3486399054527282,2006-12-12
2007-10-31,0.3669739365577698,2006-12-12
2007-12-11,0.3203890323638916,2006-12-12
2008-01-30,0.0663970857858657,2006-12-12
2008-03-18,0.250709980726242,2006-12-12
2008-04-30,0.2136927545070648,2006-12-12
2008-06-25,0.2666763067245483,2006-12-12
2008-08-05,0.1751235574483871,2006-12-12
2008-09-16,0.1203486397862434,2006-12-12
2008-10-29,0.2543022334575653,2006-12-12
2008-12-16,0.2379132658243179,2006-12-12
2009-01-28,0.0663970857858657,2006-12-12
2009-03-18,0.1992242783308029,2006-12-12
2009-04-29,0.1826896071434021,2006-12-12
2009-06-24,0.2576571106910705,2006-12-12
2009-08-12,-0.0883307456970214,2009-06-24
2009-09-23,-0.0121466470882296,2009-06-24
2009-11-04,0.0837046727538108,2009-06-24
2009-12-16,-0.0217391606420278,2009-06-24
2010-01-27,-0.0561928078532218,2009-06-24
2010-03-16,0.1567560732364654,2009-06-24
2010-04-28,0.1991159170866012,2009-06-24
2010-06-23,-0.0780342742800712,2009-06-24
2010-08-10,0.0762473046779632,2009-06-24
2010-09-21,0.025385744869709,2009-06-24
2010-11-03,-0.0552294142544269,2009-06-24
2010-12-14,0.0346741676330566,2009-06-24
2011-01-26,-0.1620618253946304,2009-06-24
2011-03-15,0.1009499877691268,2009-06-24
2011-04-27,0.0239294171333313,2009-06-24
2011-06-22,0.0621857196092605,2009-06-24
2011-08-09,-0.2736897766590118,2009-06-24
2011-09-21,-0.0137939089909195,2009-06-24
2011-11-02,0.0954646095633506,2009-06-24
2011-12-13,-0.100416675209999,2009-06-24
2012-01-25,-0.22859959304332733,2011-12-13
2012-03-13,-0.023157883435487747,2011-12-13
2012-04-25,0.06226881965994835,2011-12-13
2012-06-20,-0.04934582859277725,2011-12-13
2012-09-13,-0.13968881964683533,2011-12-13
2012-10-24,-0.14463898539543152,2011-12-13
2012-12-12,0.050825584679841995,2011-12-13
2013-01-30,-0.05028250813484192,2011-12-13
2013-03-20,-0.017592689022421837,2011-12-13
2013-05-01,-0.02884315513074398,2011-12-13
2013-06-19,-0.1897536814212799,2011-12-13
2013-07-31,-0.1139017790555954,2011-12-13
2013-09-18,-0.003602013224735856,2011-12-13
2013-10-30,-0.10424565523862839,2011-12-13
2013-12-18,-0.11694949120283127,2011-12-13
2014-01-29,-0.04160798341035843,2011-12-13
2014-03-19,-0.13795128464698792,2011-12-13
2014-04-30,0.0701330155134201,2011-12-13
2014-06-18,-0.05007196590304375,2011-12-13
2014-07-30,-0.03015478327870369,2011-12-13
