Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,1.9734929,0.8218265,2.8299034,1.6271443,1.3380531,2.5344899,1.8677713,1.1362832,2.7775168,2.1566348,1.2623224,1.1044258,1.0256107,1.6224598,1.8205506,1.8342997,2.0476823,1.7499151,2.021597,1.8010451,1.4548955,1.5580559,0.69191736,1.4098194,1.3091886,1.5922925,0.9394001,0.91445506,0.6095685,0.22827654,1.1882693,1.0388451,0.96385974,0.6180886,0.22805469,0.54807466,0.067582294,0.1627056,0.24063773,0.3103586,0.32429016,0.06098127,0.061019268,0.1977149,0.12052299
1,0.10245254,0.29042795,0.30174553,1.04682,0.17176443,0.38688734,0.5262067,0.4494396,0.054376,0.3275401,0.20592503,0.3682144,0.24553308,0.27000296,0.12780754,0.18630439,0.15268251,0.20950294,0.17022844,0.38258353,0.21098837,0.040001396,0.37484163,0.16321576,0.030216023,0.07824061,0.37131184,0.1642946,0.16149218,0.053993776,0.108894005,0.27459764,0.24829893,0.61655146,0.26647922,0.15890563,0.05525056,0.13901035,0.020130243,0.014164517,0.12868097,0.27997732,0.1720604,0.4595027,0.14098294
2,0.24653026,0.08012639,0.16964689,0.1237643,0.23494487,0.35656178,0.32065067,0.33467925,0.24087404,0.30241644,0.062018014,0.068349734,0.17972499,0.16766004,0.10199952,0.31090027,0.33865294,0.31943074,0.045703173,0.111887634,0.09830144,0.15361162,0.037953313,0.13540813,0.02882836,0.29102975,0.302706,0.14881608,0.03498739,0.029461036,0.022652075,0.053385098,0.04141495,0.120758265,0.095311925,0.0690049,0.086051375,0.066423245,0.10440038,0.062112596,0.009672303,0.019205607,0.06129525,0.1424562,0.00056536123
3,0.3417729,0.028984398,0.07687596,0.06498304,0.16965064,0.0737265,0.04610674,0.08376807,0.15891948,0.12881324,0.020245751,0.111691594,0.18593828,0.083215356,0.08806412,0.03018633,0.19365533,0.061605863,0.22496057,0.05977325,0.20358673,0.026940612,0.024290228,0.032714613,0.031250894,0.045732517,0.034603324,0.041852318,0.0290826,0.08443323,0.124132544,0.03653364,0.06139212,0.03585988,0.0064672614,0.037402414,0.22372635,0.046801038,0.05173992,0.1808377,0.05972809,0.04197827,0.10223518,0.0066950093,0.19854139
4,0.19392146,0.15727994,0.09756829,0.10789441,0.1338404,0.025717923,0.024886372,0.036031947,0.011861758,0.005019524,0.0846553,0.042118452,0.049190663,0.022629328,0.03823018,0.017302874,0.041906178,0.0066757295,0.006363141,0.038197964,0.00481558,0.019410115,0.027528197,0.08370407,0.009771077,0.030035185,0.010226037,0.01059842,0.011430571,0.004451044,0.07346053,0.05486486,0.15976876,0.03692459,0.0061129373,0.010773432,0.12446861,0.07662925,0.024620008,0.023012154,0.09510818,0.17104836,0.07333274,0.23118304,0.007661692
5,0.059584834,0.012264181,0.011203455,0.051402055,0.0441799,0.10285191,0.09741443,0.029430198,0.007143513,0.059864994,0.025565073,0.07957261,0.0029263047,0.0068258094,0.008463404,0.014423478,0.04753685,0.04802286,0.020977069,0.025342911,0.04005391,0.03425515,0.012207638,0.026033362,0.028445002,0.050840974,0.044407513,0.10630844,0.10024846,0.09186898,0.013464175,0.04129494,0.12031953,0.059916567,0.088359594,0.09693287,0.015962694,0.026250103,0.026406994,0.0044720015,0.022359682,0.016133968,0.020873904,0.016388703,5.8998405e-05
6,0.002294805,0.0041158292,0.013096259,0.004103547,0.05965645,0.037796624,0.04486972,0.014558656,0.0060144775,0.0019812386,0.0497416,0.01551222,0.036848705,0.023895798,0.0021773654,0.020988148,0.060358148,0.021005996,0.0077757174,0.033603363,0.042494223,0.031645037,0.054415904,0.024992289,0.014238523,0.089463145,0.18626982,0.2665547,0.13219467,0.13091493,0.065738425,0.0046618953,0.093960874,0.16032986,0.18809596,0.22085488,0.11711652,0.054802388,0.101723775,0.05223497,0.098506294,0.06697881,0.11722722,0.06867701,0.047579173
7,0.0050814515,0.020688672,0.008234596,0.008351065,0.03955301,0.046139963,0.030591758,0.002172234,0.0035534191,0.035727467,0.028459022,0.014343192,0.04595242,0.030693995,0.023770452,0.021316696,0.01655145,0.00093782775,0.019390058,0.022634309,0.03306824,0.005538661,0.0085579045,0.0061368705,0.026878532,0.057557482,0.09933527,0.039893784,0.026171237,0.06355036,0.09960726,0.102439456,0.03980089,0.08616326,0.038066424,0.097872004,0.12209784,0.026844831,0.1840311,0.20964414,0.062315874,0.080698214,0.041178398,0.03044851,0.12702666
8,0.01643369,0.027081657,0.020552121,0.03121293,0.04284646,0.03241559,0.016551454,0.005735485,0.038803928,0.14313671,0.08996234,0.08826928,0.010011458,0.050429046,0.007292311,0.021107785,0.017557569,0.049591146,0.014032621,0.032454003,0.06467139,0.017793309,0.061758492,0.0053375605,0.0012776481,0.009313022,0.049909193,0.030668665,0.014605719,0.03594891,0.029728392,0.011996094,0.01446538,0.01965539,0.0059389714,0.032188103,0.027574208,0.02344986,0.013674465,0.0041211834,0.029241778,0.010558052,0.075795494,0.019403636,0.0069736233
9,0.028397445,0.025964167,0.017292157,0.07554761,0.02543309,0.033454433,0.049268723,0.020888913,0.030312032,0.014437656,0.030742204,0.0025456557,0.03392396,0.027599338,0.0011990131,0.008460227,0.015692884,0.015214351,0.010405529,0.016473036,0.00651809,0.012144626,0.013816553,0.0014859238,0.007847507,0.0022565112,0.020917302,0.033148464,0.0057609603,0.037287824,0.059549127,0.013677145,0.0049141245,0.032175794,0.031495083,0.050461467,0.026794598,0.016431961,0.03949827,0.0068176948,0.03782578,0.05770302,0.06036906,0.01269185,0.005830284
10,0.015369953,0.028549466,0.08887966,0.022160245,0.017466588,0.06424319,0.045020547,0.029871557,0.016264126,0.01711868,0.0257689,0.051443525,0.010132177,0.007877028,0.0044788797,0.035518117,0.011277385,0.028080055,0.04513929,0.013925672,0.017046662,0.013141951,0.009269934,0.033976182,0.042846695,0.0108469995,0.024554787,0.021215994,0.015689284,0.045237426,0.011917245,0.0046325433,0.02076797,0.026899118,0.027322788,0.14361516,0.051374678,0.04255285,0.031403683,0.010664368,0.018682906,0.049063895,0.006244175,0.0151154995,0.0040915213
11,0.0055188076,0.049053628,0.039565116,0.065839544,0.046205394,0.025920019,0.034378927,0.014225789,0.0037123668,0.015059253,0.04847084,0.0070635583,0.06286813,0.05406232,0.045408,0.004950261,0.052492775,0.017467532,0.03537081,0.07227361,0.013806973,0.034043614,0.022309879,0.025169723,0.003118011,0.009250203,0.021356307,0.016687877,0.015934926,0.022519447,0.08044273,0.073141925,0.031585813,0.016051568,0.013214379,0.025653386,0.043358073,0.049065366,0.001785663,0.03605257,0.03994611,0.082544535,0.07947756,0.028504433,0.017875247
12,0.012130507,0.090044886,0.06369528,0.26034337,0.14583725,0.09690877,0.051021315,0.01800472,0.01152232,0.030072298,0.03964459,0.026729712,0.01565152,0.06390773,0.13215409,0.059273258,0.032875735,0.03214211,0.01918556,0.0063752253,0.039727427,0.056591153,0.03043858,0.016527116,0.0099907685,0.0056433324,0.046740267,0.026605558,0.04736562,0.03336495,0.0108304955,0.010431256,0.06213804,0.08204675,0.028022822,0.012834186,0.0123196235,0.008436974,0.035791446,0.036973752,0.041729372,0.0017720722,0.0044687744,0.00407387,0.030277502
13,0.040558066,0.007194547,0.009824026,0.0034826137,0.042649906,0.05961301,0.023028601,0.00453478,0.0048255464,0.036378082,0.15253673,0.09574866,0.055758778,0.07141934,0.022198264,0.0043384177,0.037047118,0.027639965,0.033243313,0.012905199,0.00843985,0.002055264,0.04352127,0.014376994,0.038592856,0.024182836,0.015485635,0.009051969,0.009993434,0.023341907,0.032209598,0.014990332,0.015324003,0.011861053,0.05836685,0.017441705,0.00510904,0.008586589,0.025480606,0.036338784,0.029915096,0.0070241187,0.008766888,0.010051381,0.00067375286
14,0.008140989,0.0064759273,0.0045662792,0.016657975,0.011129474,0.009056184,0.002053005,0.0011958473,0.0081429435,0.0013230358,0.00670101,0.004303417,0.008654295,0.0047230516,0.011946892,0.010081635,0.024754774,0.017553903,0.0352472,0.049228728,0.017350184,0.029982418,0.0067629376,0.0076162857,0.0673952,0.028196136,0.0073756054,0.033113256,0.011196718,0.012088247,0.036964834,0.009969643,0.020851774,0.0016924154,0.017162396,0.025165219,0.030932043,0.022388179,0.02720561,0.014372538,0.00797664,0.022838153,0.0071676676,0.011407591,6.727894e-05
15,0.052441034,0.06309317,0.054336857,0.07639902,0.035862353,0.004128528,0.0034269975,0.01712045,0.050748885,0.009341522,0.016266473,0.02250719,0.016746987,0.02287843,0.053986512,0.015474159,0.020110365,0.005845463,0.0073680757,0.034245435,0.01909225,0.00926261,0.008035393,0.02045947,0.0047180313,0.0028403932,0.008155301,0.009621649,0.016042983,0.0091125555,0.0061212564,0.016089134,0.009121943,0.012231966,0.039133057,0.002524869,0.046060346,0.03267578,0.018713472,0.021643471,0.0042883386,0.003468887,0.06739807,0.07427202,0.10267532
16,0.040363625,0.0225657,0.010506942,0.001733942,0.026399553,0.062441323,0.00979049,0.0029198662,0.0026728634,0.012531121,0.014533046,0.008689796,0.007724184,0.00513293,0.0029413323,0.0071616173,0.000760287,0.006116532,0.04456862,0.027355,0.007103284,0.002879927,0.0030071847,0.018143576,0.016649311,0.01415435,0.0003711738,0.0065862145,0.0057119178,0.013019222,0.0011219736,0.008831383,0.003113555,0.010769403,0.02128082,0.023004333,0.011632147,0.016647557,0.003482601,0.034880705,0.0026557944,0.009199069,0.009069624,0.0050369585,0.0036326305
17,0.012672413,0.0075560594,0.00017173431,0.003174047,0.002477556,0.0010731509,0.00842067,0.02561781,0.008255771,0.03957624,0.0048919395,0.003002648,0.008584442,0.018174406,0.0017593586,0.018538997,0.027128413,0.03251171,0.016809905,0.09798053,0.056365263,0.040299434,0.0031783711,0.009611238,0.021587407,0.02280422,0.04143262,0.012624178,0.003884802,0.001718744,0.0058120037,0.012348999,0.024321329,0.032744803,0.015322699,0.016309652,0.019146862,0.017281171,0.0028281636,0.041396804,0.05250693,0.016662128,0.008312283,0.017006654,0.04994357
18,0.028561559,0.023286112,0.026821025,0.028586382,0.02466324,0.0041554193,0.007408372,0.037243567,0.03818863,0.0047868835,0.007966121,0.0071453247,0.0058596255,0.00065884256,0.016713213,0.0016040046,0.0064341216,0.011241335,0.0031420614,0.0015665081,0.008919612,0.02095294,0.027024038,0.020241357,0.0017441317,0.0068563786,0.0068564834,0.018712604,0.0036247275,0.036580246,0.013761474,0.0021936437,0.029649276,0.002695414,0.008590477,0.00768173,0.017350562,0.0021931184,0.011681724,0.006348039,0.002827136,0.01027282,0.0030027246,0.004487538,0.00037870437
19,0.0044437926,0.003282477,0.016859263,0.0040424457,0.0060314257,0.0033740504,0.02111692,0.005148201,0.008061032,0.013537234,0.009300366,0.0062163686,0.009918647,0.04582656,0.0023130118,0.0051838565,0.01095735,0.011873337,0.0142450705,0.020400174,0.03141261,0.0021389376,0.008251285,0.023333281,0.022211932,0.0157764,0.0111200875,0.0030209236,0.00485938,0.0019385769,0.0047521032,0.007039402,0.009092175,0.04469683,0.014541762,0.036798727,0.04261373,0.020359274,0.001741992,0.0015110152,0.005558935,0.012772243,0.0057538934,0.012973973,0.0028241118
20,0.004224313,0.01639412,0.014136785,0.023610478,0.016251866,0.02185818,0.012470025,0.030541677,0.021812022,0.014394416,0.018305827,0.01895015,0.0053649447,0.008408733,0.018088892,0.00855448,0.001636324,0.0047572237,0.0078036063,0.0062559354,0.0039476696,0.011791928,0.004405708,0.0043405932,0.010780525,0.012506134,0.009500644,0.003357512,0.00043249666,0.007853067,0.0062626973,0.0010653662,0.0014905166,0.0025222364,0.005506844,0.006273422,0.0072945133,0.0047082966,0.0072419043,0.006152156,0.0020695643,0.012057554,0.0059724804,0.009198246,0.011901519
21,0.0066555007,0.0004105418,0.0028956193,0.0017525095,0.03772059,0.018391907,0.011676641,0.0048060426,0.0025092396,0.0047172657,0.0030890473,0.01184749,0.006712813,0.00678546,0.0019756197,0.0072095534,0.016671391,0.000224305,0.0036758967,0.010102439,0.0072192973,0.003958085,0.0025533356,0.001677651,0.0019111044,0.026812755,0.01060917,0.008063383,0.0042094267,0.006394686,0.001262814,0.019515688,0.005283766,0.024117019,0.004758048,0.0109729245,0.0023496589,0.0010338337,0.012332503,0.013900593,0.002454726,0.0022060063,0.0042045657,0.008923678,0.0023635554
22,0.0017522576,0.0049301023,0.0007303952,0.013103428,0.004613517,0.0035292574,0.03795876,0.005017508,0.0077849105,0.0011379373,0.017246228,0.0033304603,0.0053601535,0.015087703,0.017039634,0.004439935,0.0020878823,0.007047468,0.008527104,0.0034687603,0.010053112,0.0068135867,0.0005691531,0.0011297324,0.001062464,0.0007985538,0.017704584,0.0073024207,0.018032044,0.0013381974,0.0017389565,0.0030463457,0.0075509865,0.013059599,0.0066794753,0.009953802,0.016291492,0.01236734,0.003434768,0.0015719595,0.0011579738,0.0018534166,0.0013800806,0.003993769,0.016125413
